problem,cleared,virtual_time_s,mean_time_s,program_time_s,complete,stations_visited,measure,clear,failed_clear,fallback,strategy,seed,total,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points
4,10,10167.515525807843,1016.7515525807843,0.23574879999796394,True,31,402,10,0,0,directional_route,310016,10,7747.515525807847,360.0,2010.0,30.0,20.0,0,0,0,0,0
4,10,10151.528461862003,1015.1528461862002,0.25887469999725,True,31,402,10,0,0,directional_safe,310016,10,7731.528461862006,360.0,2010.0,30.0,20.0,0,0,0,0,10
4,10,10288.21737088935,1028.821737088935,0.1212082999991253,True,31,365,10,0,0,baseline,310017,10,8084.217370889347,329.0,1825.0,30.0,20.0,,,,,
4,10,10369.567988803468,1036.956798880347,0.08117029999266379,True,31,370,10,0,0,directional,310017,10,8140.567988803469,329.0,1850.0,30.0,20.0,0,0,0,0,0
4,10,9876.414435593684,987.6414435593684,0.251880900003016,True,31,387,10,0,0,directional_route,310017,10,7543.414435593684,348.0,1935.0,30.0,20.0,0,0,0,0,0
4,10,9850.482979485216,985.0482979485216,0.250930199996219,True,31,387,10,0,0,directional_safe,310017,10,7517.482979485215,348.0,1935.0,30.0,20.0,0,0,0,0,10
4,14,10717.452329445163,765.5323092460831,0.23424119999981485,True,31,281,14,0,0,baseline,310018,14,9006.452329445166,236.0,1405.0,42.0,28.0,,,,,
4,14,10049.112377166617,717.793741226187,0.12480669999786187,True,31,282,14,0,0,directional,310018,14,8333.112377166615,236.0,1410.0,42.0,28.0,0,0,0,0,0
4,14,10175.895358619533,726.8496684728237,0.3063714999880176,True,31,283,14,0,0,directional_route,310018,14,8454.89535861953,236.0,1415.0,42.0,28.0,0,0,0,0,0
4,14,10132.553655671007,723.753832547929,0.31471520000195596,True,31,283,14,0,0,directional_safe,310018,14,8411.553655671007,236.0,1415.0,42.0,28.0,0,0,0,0,14
4,12,10451.360410936373,870.9467009113645,0.17897660000016913,True,31,324,12,0,0,baseline,310019,12,8492.360410936375,279.0,1620.0,36.0,24.0,,,,,
4,12,10078.808916683309,839.9007430569424,0.09289939999871422,True,31,319,30,18,1,directional,310019,12,8090.808916683309,279.0,1595.0,90.0,24.0,0,0,0,0,0
4,12,10765.000568477963,897.0833807064969,0.31061279999266844,True,31,343,30,18,1,directional_route,310019,12,8640.000568477966,296.0,1715.0,90.0,24.0,0,0,0,0,0
4,12,10272.571175329902,856.0475979441585,0.5105902000068454,True,31,343,13,1,1,directional_safe,310019,12,8197.571175329904,297.0,1715.0,39.0,24.0,0,0,0,0,11
4,16,6538.940314422001,408.6837696513751,0.21474660000239965,True,18,202,16,0,0,baseline,310020,16,5275.940314422002,173.0,1010.0,48.0,32.0,,,,,
4,16,6327.260533445265,395.45378334032904,0.11973170000419486,True,18,202,16,0,0,directional,310020,16,5064.2605334452655,173.0,1010.0,48.0,32.0,0,0,0,0,0
4,16,7510.484118026293,469.4052573766433,0.30116560000169557,True,20,218,16,0,0,directional_route,310020,16,6151.484118026291,189.0,1090.0,48.0,32.0,0,0,0,0,0
