candidate_evaluations,clear,cleared,complete,coverage_checks,deferred_targets,error,failed_clear,fallback,forced_targets,kind,laser_s,mean_time_s,measure,measure_s,mode,move_s,normal_exit,ok,opportunistic_measures,optical_s,paper_measurements_selected,problem,program_time_s,route_replans,safe_clear_points,seed,skipped_known_measurements,small_region_probes,small_region_successes,station_replacements,stations_visited,switch_s,total,virtual_time_s
60,14,13,True,3,13,,1,0,0,random,26.0,487.1351214765522,257,1285.0,tight_merge,4746.756579195177,True,True,0,42.0,1,4,0.3257015999988653,35,9,2500013,56,5,4,0,22,233.0,13,6332.756579195178
119,15,15,True,0,15,,0,0,0,random,30.0,379.24546128985463,219,1095.0,compact21,4323.681919347818,True,True,0,45.0,1,4,0.23247029999038205,36,11,2500014,33,4,4,0,21,195.0,15,5688.6819193478195
119,15,15,True,9,15,,0,0,0,random,30.0,379.24546128985463,219,1095.0,compact21_merge,4323.681919347818,True,True,0,45.0,1,4,0.6720774999994319,36,11,2500014,33,4,4,0,21,195.0,15,5688.6819193478195
163,15,15,True,8,15,,0,0,0,random,30.0,419.3183139014912,237,1185.0,tight_merge,4825.774708522367,True,True,0,45.0,2,4,0.6954783999826759,37,11,2500014,27,4,4,0,22,204.0,15,6289.774708522368
110,61,15,True,0,15,,46,3,0,random,30.0,470.89029248973276,250,1250.0,compact21,5373.354387345991,True,True,0,183.0,1,4,0.6004092000075616,36,11,2500015,34,1,1,0,21,227.0,15,7063.354387345991
110,61,15,True,8,15,,46,3,0,random,30.0,470.89029248973276,250,1250.0,compact21_merge,5373.354387345991,True,True,0,183.0,1,4,1.062371300009545,36,11,2500015,34,1,1,0,21,227.0,15,7063.354387345991
109,25,15,True,4,15,,10,1,0,random,30.0,439.4820327134211,246,1230.0,tight_merge,5037.230490701316,True,True,0,75.0,0,4,0.5719851999892853,37,11,2500015,19,4,3,0,22,220.0,15,6592.230490701317
84,22,13,True,0,13,,9,1,0,random,26.0,456.9230609127778,258,1290.0,compact21,4322.999791866112,True,True,0,66.0,1,4,0.3303194999753032,34,6,2500016,28,6,6,0,21,235.0,13,5939.999791866112
84,22,13,True,7,13,,9,1,0,random,26.0,456.9230609127778,258,1290.0,compact21_merge,4322.999791866112,True,True,0,66.0,1,4,0.6947573999932501,34,6,2500016,28,6,6,0,21,235.0,13,5939.999791866112
82,13,13,True,6,13,,0,0,0,random,26.0,475.60094363879466,274,1370.0,tight_merge,4496.812267304327,True,True,0,39.0,0,4,0.4832637000072282,35,9,2500016,24,4,4,0,22,251.0,13,6182.812267304331
58,22,12,True,0,12,,10,1,0,random,24.0,481.6895486702281,243,1215.0,compact21,4256.274584042735,True,True,0,66.0,2,4,0.3221649999904912,33,5,2500017,10,6,6,0,21,219.0,12,5780.274584042737
58,22,12,True,6,12,,10,1,0,random,24.0,481.6895486702281,243,1215.0,compact21_merge,4256.274584042735,True,True,0,66.0,2,4,0.5944864999910351,33,5,2500017,10,6,6,0,21,219.0,12,5780.274584042737
87,12,12,True,6,12,,0,0,0,random,24.0,504.33943009671253,256,1280.0,tight_merge,4482.073161160552,True,True,0,36.0,1,4,0.5168943000026047,34,9,2500017,3,3,3,0,22,230.0,12,6052.073161160551
53,24,16,True,0,16,,8,1,0,random,32.0,348.12178515821734,242,1210.0,compact21,4034.9485625314755,True,True,0,72.0,0,4,0.31787520000943914,36,8,2500018,15,8,7,0,20,221.0,16,5569.948562531477
53,24,16,True,4,16,,8,1,0,random,32.0,348.12178515821734,242,1210.0,compact21_merge,4034.9485625314755,True,True,0,72.0,0,4,0.5034508000244386,36,8,2500018,15,8,7,0,20,221.0,16,5569.948562531477
144,16,16,True,5,16,,0,0,0,random,32.0,364.2081236416169,239,1195.0,tight_merge,4340.329978265871,True,True,0,48.0,1,4,0.4700890999811236,36,11,2500018,49,5,5,0,20,212.0,16,5827.3299782658705
54,13,11,True,0,11,,2,0,0,random,22.0,528.0551782837679,252,1260.0,compact21,4259.606961121445,True,True,0,39.0,2,4,0.18769150000298396,32,8,2500019,38,5,3,0,21,228.0,11,5808.606961121446
54,13,11,True,7,11,,2,0,0,random,22.0,528.0551782837679,252,1260.0,compact21_merge,4259.606961121445,True,True,0,39.0,2,4,0.5012395000085235,32,8,2500019,38,5,3,0,21,228.0,11,5808.606961121446
32,12,11,True,5,11,,1,0,0,random,22.0,522.4723708766397,263,1315.0,tight_merge,4136.196079643037,True,True,0,36.0,1,4,0.4238404000061564,33,6,2500019,14,6,5,0,22,238.0,11,5747.196079643038
60,17,15,True,0,15,,2,0,0,random,30.0,423.77439775921096,288,1440.0,compact21,4565.615966388163,True,True,0,51.0,2,4,0.20052849999046884,36,13,2500020,11,4,2,0,21,270.0,15,6356.615966388164
60,17,15,True,3,15,,2,0,0,random,30.0,423.77439775921096,288,1440.0,compact21_merge,4565.615966388163,True,True,0,51.0,2,4,0.3568127999897115,36,13,2500020,11,4,2,0,21,270.0,15,6356.615966388164
57,83,15,True,5,15,,68,1,0,random,30.0,469.3609415052336,300,1500.0,tight_merge,4982.414122578504,True,True,0,249.0,1,4,0.46266179997473955,37,9,2500020,15,5,5,0,22,279.0,15,7040.414122578504
57,18,12,True,0,12,,6,1,0,random,24.0,531.923396143456,274,1370.0,compact21,4681.080753721471,True,True,0,54.0,0,4,0.31969289999688044,33,7,2500021,37,4,4,0,21,254.0,12,6383.080753721472
57,18,12,True,3,12,,6,1,0,random,24.0,531.923396143456,274,1370.0,compact21_merge,4681.080753721471,True,True,0,54.0,0,4,0.4252427000028547,33,7,2500021,37,4,4,0,21,254.0,12,6383.080753721472
104,43,12,True,4,12,,31,1,0,random,24.0,571.0910336086819,303,1515.0,tight_merge,4908.092403304184,True,True,0,129.0,0,4,0.5702458000159822,34,8,2500021,29,3,3,0,22,277.0,12,6853.092403304182
38,19,10,True,0,10,,9,1,0,random,20.0,635.0593939399174,280,1400.0,compact21,4614.593939399177,True,True,0,57.0,0,4,0.26725200001965277,31,6,2500022,28,4,3,0,21,259.0,10,6350.593939399174
38,19,10,True,2,10,,9,1,0,random,20.0,635.0593939399174,280,1400.0,compact21_merge,4614.593939399177,True,True,0,57.0,0,4,0.35254599998006597,31,6,2500022,28,4,3,0,21,259.0,10,6350.593939399174
109,10,10,True,5,10,,0,0,0,random,20.0,582.0163083143284,305,1525.0,tight_merge,3963.163083143285,True,True,0,30.0,0,4,0.4255051999934949,32,6,2500022,37,4,4,0,22,282.0,10,5820.163083143284
68,41,12,True,0,12,,29,2,0,random,24.0,544.061587113171,257,1285.0,compact21,4866.73904535805,True,True,0,123.0,0,4,0.47710730001563206,33,5,2500023,28,6,5,0,21,230.0,12,6528.739045358052
68,41,12,True,3,12,,29,2,0,random,24.0,544.061587113171,257,1285.0,compact21_merge,4866.73904535805,True,True,0,123.0,0,4,0.5972527999838348,33,5,2500023,28,6,5,0,21,230.0,12,6528.739045358052
94,12,12,True,4,12,,0,0,0,random,24.0,510.07391398421373,285,1425.0,tight_merge,4375.886967810565,True,True,0,36.0,2,4,0.4170897000003606,34,8,2500023,67,4,4,1,22,260.0,12,6120.886967810565
53,13,12,True,0,12,,1,0,0,random,24.0,485.20237840300274,256,1280.0,compact21,4246.428540836034,True,True,0,39.0,0,4,0.16176619997713715,33,7,2500024,35,6,5,0,21,233.0,12,5822.428540836033
53,13,12,True,5,12,,1,0,0,random,24.0,485.20237840300274,256,1280.0,compact21_merge,4246.428540836034,True,True,0,39.0,0,4,0.3959540000068955,33,7,2500024,35,6,5,0,21,233.0,12,5822.428540836033
68,24,12,True,6,12,,12,1,0,random,24.0,489.9589982074222,255,1275.0,tight_merge,4277.507978489066,True,True,0,72.0,0,4,0.6338650000107009,34,6,2500024,39,6,5,0,22,231.0,12,5879.507978489067
57,17,16,True,0,16,,1,0,0,random,32.0,353.87113734784054,226,1130.0,compact21,4244.938197565448,True,True,0,51.0,1,4,0.21590710000600666,33,12,2500025,36,5,4,0,17,204.0,16,5661.938197565449
57,17,16,True,6,16,,1,0,0,random,32.0,353.87113734784054,226,1130.0,compact21_merge,4244.938197565448,True,True,0,51.0,1,4,0.5149445999995805,33,12,2500025,36,5,4,0,17,204.0,16,5661.938197565449
194,31,16,True,8,16,,15,1,0,random,32.0,375.42079634713485,197,985.0,tight_merge,4729.732741554156,True,True,0,93.0,1,4,0.8591153000015765,35,9,2500025,41,6,6,0,19,167.0,16,6006.732741554158
72,15,14,True,0,14,,1,0,0,random,28.0,408.5081500376374,234,1170.0,compact21,4262.114100526923,True,True,0,45.0,0,4,0.19817860002513044,35,7,2500026,56,8,7,0,21,214.0,14,5719.114100526924
72,15,14,True,6,14,,1,0,0,random,28.0,408.5081500376374,234,1170.0,compact21_merge,4262.114100526923,True,True,0,45.0,0,4,0.5386899000150152,35,7,2500026,56,8,7,0,21,214.0,14,5719.114100526924
54,35,14,True,6,14,,21,2,0,random,28.0,429.6732210532643,242,1210.0,tight_merge,4456.4250947457,True,True,0,105.0,0,4,0.6478066999989096,36,8,2500026,63,5,4,0,22,216.0,14,6015.4250947457
116,14,14,True,0,14,,0,0,0,random,28.0,412.16543158959996,217,1085.0,compact21,4421.316042254399,True,True,0,42.0,1,4,0.2269827999989502,35,8,2500027,34,6,6,0,21,194.0,14,5770.3160422544
