candidate_evaluations,clear,cleared,complete,coverage_checks,coverage_sites_cancelled,deferred_targets,error,failed_clear,fallback,forced_targets,kind,laser_s,mean_time_s,measure,measure_s,mode,move_s,normal_exit,ok,opportunistic_measures,optical_s,paper_measurements_selected,problem,program_time_s,route_replans,safe_clear_points,seed,skipped_known_measurements,small_region_probes,small_region_successes,station_replacements,stations_visited,switch_s,total,virtual_time_s
69,11,10,True,0,0,10,,1,0,0,random,20.0,603.5478249313256,313,1565.0,info0.3,4126.478249313257,True,True,0,33.0,0,4,0.2520249000226613,32,4,2500022,18,7,6,0,22,291.0,10,6035.478249313256
28,16,10,True,0,0,10,,6,1,0,random,20.0,654.7330491356358,306,1530.0,info0.7,4665.330491356361,True,True,0,48.0,1,4,0.36577189998934045,32,4,2500022,26,6,5,0,22,284.0,10,6547.330491356358
28,16,10,True,0,0,10,,6,1,0,random,20.0,658.5191522401062,306,1530.0,info1.2,4703.1915224010645,True,True,0,48.0,1,4,0.3737567000207491,32,4,2500022,27,6,5,0,22,284.0,10,6585.191522401062
53,12,12,True,0,0,12,,0,0,0,random,24.0,523.3630180820909,305,1525.0,info0.3,4410.356216985093,True,True,0,36.0,1,4,0.28252120001707226,34,7,2500023,66,5,5,0,22,285.0,12,6280.35621698509
48,12,12,True,0,0,12,,0,0,0,random,24.0,533.0367088721158,288,1440.0,info0.7,4632.440506465391,True,True,0,36.0,1,4,0.30650090001290664,34,8,2500023,76,4,4,0,22,264.0,12,6396.44050646539
50,12,12,True,0,0,12,,0,0,0,random,24.0,534.9917200185985,286,1430.0,info1.2,4665.900640223183,True,True,0,36.0,2,4,0.31151719999616034,34,7,2500023,87,5,5,0,22,264.0,12,6419.900640223182
54,23,12,True,0,0,12,,11,1,0,random,24.0,493.35816419853404,255,1275.0,info0.3,4322.297970382409,True,True,0,69.0,0,4,0.43699019998894073,34,6,2500024,39,6,5,0,22,230.0,12,5920.2979703824085
14,13,12,True,0,0,12,,1,0,0,random,24.0,474.990214363584,253,1265.0,info0.7,4139.882572363007,True,True,0,39.0,0,4,0.25216780000482686,34,5,2500024,29,8,7,0,22,232.0,12,5699.882572363008
14,23,12,True,0,0,12,,11,1,0,random,24.0,507.6365826640847,241,1205.0,info1.2,4573.638991969014,True,True,0,69.0,0,4,0.4277257999929134,34,5,2500024,89,7,6,0,22,220.0,12,6091.638991969016
180,16,16,True,0,0,16,,0,0,0,random,32.0,236.9855936734104,140,700.0,info0.3,2891.769498774566,True,True,0,48.0,1,4,0.4074333000171464,25,10,2500025,22,6,6,0,9,120.0,16,3791.7694987745663
168,16,16,True,0,0,16,,0,0,0,random,32.0,234.8789718838405,139,695.0,info0.7,2863.0635501414476,True,True,0,48.0,1,4,0.4080839999951422,25,10,2500025,22,6,6,0,9,120.0,16,3758.063550141448
22,30,16,True,0,0,16,,14,1,0,random,32.0,333.8399148680441,171,855.0,info1.2,4212.438637888703,True,True,0,90.0,2,4,0.48145029999432154,31,9,2500025,49,6,6,0,15,152.0,16,5341.438637888706
53,17,14,True,0,0,14,,3,1,0,random,28.0,397.28297541441253,205,1025.0,info0.3,4273.961655801776,True,True,0,51.0,0,4,0.39449530001729727,36,11,2500026,40,4,2,0,22,184.0,14,5561.961655801775
14,16,14,True,0,0,14,,2,1,0,random,28.0,440.7657574732829,251,1255.0,info0.7,4605.720604625961,True,True,0,48.0,0,4,0.3886698999849614,36,8,2500026,113,6,5,0,22,234.0,14,6170.720604625961
25,36,14,True,0,0,14,,22,2,0,random,28.0,445.2531321790574,225,1125.0,info1.2,4768.543850506805,True,True,0,108.0,0,4,0.6070709000050556,36,8,2500026,67,6,4,0,22,204.0,14,6233.543850506803
67,14,14,True,0,0,14,,0,0,0,random,28.0,440.3023492080361,243,1215.0,info0.3,4659.232888912505,True,True,0,42.0,1,4,0.34102249998250045,36,9,2500027,72,5,5,0,22,220.0,14,6164.232888912506
77,16,14,True,0,0,14,,2,1,0,random,28.0,458.55759184240827,260,1300.0,info0.7,4809.806285793717,True,True,0,48.0,1,4,0.5273222999821883,36,8,2500027,67,5,5,0,22,234.0,14,6419.806285793716
19,17,14,True,0,0,14,,3,1,0,random,28.0,447.1580188206938,238,1190.0,info1.2,4772.212263489713,True,True,0,51.0,1,4,0.4927648000011686,36,8,2500027,57,6,5,0,22,219.0,14,6260.212263489713
13,10,10,True,0,0,10,,0,0,0,random,20.0,578.7635630192634,283,1415.0,info0.3,4061.635630192638,True,True,0,30.0,0,4,0.21501799998804927,32,4,2500028,48,6,6,0,22,261.0,10,5787.635630192634
13,10,10,True,0,0,10,,0,0,0,random,20.0,613.2344528520181,300,1500.0,info0.7,4305.344528520181,True,True,0,30.0,0,4,0.18083650001790375,32,6,2500028,5,4,4,0,22,277.0,10,6132.344528520181
13,11,10,True,0,0,10,,1,0,0,random,20.0,586.4398693501522,279,1395.0,info1.2,4157.398693501522,True,True,0,33.0,0,4,0.20761700000730343,32,6,2500028,17,5,4,0,22,259.0,10,5864.398693501522
27,13,12,True,0,0,12,,1,0,0,random,24.0,503.71987097132904,264,1320.0,info0.3,4420.63845165595,True,True,0,39.0,0,4,0.28763940001954325,34,8,2500029,44,5,4,0,22,241.0,12,6044.638451655948
52,15,12,True,0,0,12,,3,0,0,random,24.0,490.3207020486968,265,1325.0,info0.7,4245.848424584363,True,True,0,45.0,0,4,0.3362706000043545,34,8,2500029,45,7,4,0,22,244.0,12,5883.848424584361
52,15,12,True,0,0,12,,3,0,0,random,24.0,490.3207020486968,265,1325.0,info1.2,4245.848424584363,True,True,0,45.0,0,4,0.34182690002489835,34,8,2500029,45,7,4,0,22,244.0,12,5883.848424584361
24,24,14,True,0,0,14,,10,1,0,random,28.0,443.10289208199544,249,1245.0,info0.3,4630.440489147936,True,True,0,72.0,0,4,0.39866429998073727,36,6,2500030,49,8,7,0,22,228.0,14,6203.440489147936
24,24,14,True,0,0,14,,10,1,0,random,28.0,443.10289208199544,249,1245.0,info0.7,4630.440489147936,True,True,0,72.0,0,4,0.4205668000213336,36,6,2500030,49,8,7,0,22,228.0,14,6203.440489147936
24,24,14,True,0,0,14,,10,1,0,random,28.0,448.50828186961337,248,1240.0,info1.2,4711.115946174587,True,True,0,72.0,0,4,0.4224844000127632,36,6,2500030,49,8,7,0,22,228.0,14,6279.115946174587
48,13,11,True,0,0,11,,2,0,0,random,22.0,565.2818638323729,273,1365.0,info0.3,4545.100502156103,True,True,0,39.0,1,4,0.2568963000085205,33,7,2500031,48,6,4,0,22,247.0,11,6218.100502156102
54,20,11,True,0,0,11,,9,1,0,random,22.0,574.2063921390497,284,1420.0,info0.7,4550.270313529549,True,True,0,60.0,0,4,0.3795135999971535,33,7,2500031,39,5,3,0,22,264.0,11,6316.270313529547
54,20,11,True,0,0,11,,9,1,0,random,22.0,574.2063921390497,284,1420.0,info1.2,4550.270313529549,True,True,0,60.0,0,4,0.37974830000894144,33,7,2500031,39,5,3,0,22,264.0,11,6316.270313529547
