candidate_evaluations,clear,cleared,complete,deferred_targets,error,failed_clear,fallback,forced_targets,kind,laser_s,max_step_time_error_s,mean_time_s,measure,measure_s,mode,move_s,normal_exit,ok,opportunistic_measures,optical_s,problem,program_time_s,safe_clear_points,seed,skipped_known_measurements,stations_visited,switch_s,total,virtual_time_s
285,13,13,True,13,,0,0,2,random,26.0,0.0,285.5883246748104,125,625.0,tour_select,2904.6482207725344,True,True,17,39.0,3,0.18289500000537373,13,2200006,1,7,118.0,13,3712.648220772535
285,13,13,True,13,,0,0,2,random,26.0,0.0,285.5883246748104,125,625.0,priced,2904.6482207725344,True,True,17,39.0,3,0.19106660000397824,13,2200006,1,7,118.0,13,3712.648220772535
450,16,16,True,16,,0,0,10,random,32.0,0.0,283.39700415503455,124,620.0,baseline,3724.352066480551,True,True,34,48.0,3,0.24540100002195686,15,2200007,0,7,110.0,16,4534.352066480553
441,16,16,True,16,,0,0,0,random,32.0,0.0,255.48901550433527,122,610.0,free,3288.8242480693643,True,True,35,48.0,3,0.2534155000175815,16,2200007,0,6,109.0,16,4087.8242480693643
420,16,16,True,16,,0,0,0,random,32.0,0.0,237.52500560694452,111,555.0,tour,3066.4000897111114,True,True,24,48.0,3,0.2534086999949068,16,2200007,0,6,99.0,16,3800.4000897111123
441,16,16,True,16,,0,0,0,random,32.0,0.0,251.36401550433527,111,555.0,select,3288.8242480693643,True,True,24,48.0,3,0.2519056999881286,16,2200007,11,6,98.0,16,4021.8242480693643
420,16,16,True,16,,0,0,0,random,32.0,0.0,235.65000560694452,106,530.0,tour_select,3066.4000897111114,True,True,19,48.0,3,0.2579871999914758,16,2200007,5,6,94.0,16,3770.4000897111123
385,16,16,True,16,,0,0,0,random,32.0,0.0,222.6125113606712,99,495.0,priced,2896.8001817707395,True,True,12,48.0,3,0.24509420001413673,16,2200007,3,6,90.0,16,3561.800181770739
273,11,11,True,11,,0,0,1,random,22.0,0.0,342.255595895615,115,575.0,baseline,3029.811554851765,True,True,4,33.0,3,0.17402800000854768,11,2200008,0,7,105.0,11,3764.811554851765
273,11,11,True,11,,0,0,1,random,22.0,0.0,342.255595895615,115,575.0,free,3029.811554851765,True,True,4,33.0,3,0.17251850001048297,11,2200008,0,7,105.0,11,3764.811554851765
