kind,seed,mode,ok,error,normal_exit,cleared,total,mean_time_s,max_step_error,measure,clear,failed_clear,fallback
plus,2400006,maintained,True,,True,11,11,351.5546169581587,0.0,131,11,0,0
plus,2400007,baseline,True,,True,10,10,345.75307259237087,2.2737367544323206e-13,134,10,0,0
plus,2400007,maintained,True,,True,10,10,345.75307259237087,2.2737367544323206e-13,134,10,0,0
plus,2400008,baseline,True,,True,14,14,303.47167643507464,4.547473508864641e-13,123,14,0,0
plus,2400008,maintained,True,,True,14,14,274.15254869167376,2.842170943040401e-14,120,14,0,0
plus,2400009,baseline,True,,True,13,13,288.9149758366679,0.0,116,13,0,0
plus,2400009,maintained,True,,True,13,13,275.6374063096545,0.0,124,13,0,0
plus,2400010,baseline,True,,True,16,16,276.1139993950357,4.547473508864641e-13,100,16,0,0
plus,2400010,maintained,True,,True,16,16,229.0417424165044,0.0,109,16,0,0
plus,2400011,baseline,True,,True,10,10,421.3612364419799,0.0,120,10,0,0
plus,2400011,maintained,True,,True,10,10,332.7393694681913,0.0,116,10,0,0
plus,2400012,baseline,True,,True,13,13,385.09464681503385,0.0,126,13,0,0
plus,2400012,maintained,True,,True,13,13,284.15445052805705,0.0,119,13,0,0
plus,2400013,baseline,True,,True,10,10,395.69855484070115,0.0,127,10,0,0
plus,2400013,maintained,True,,True,10,10,360.16405738763876,0.0,125,10,0,0
plus,2400014,baseline,True,,True,13,13,337.73183722642744,0.0,128,13,0,0
plus,2400014,maintained,True,,True,13,13,305.51074368659016,0.0,119,13,0,0
plus,2400015,baseline,True,,True,12,12,323.55508201279196,0.0,120,12,0,0
plus,2400015,maintained,True,,True,12,12,292.4866269596759,1.1368683772161603e-13,123,12,0,0
plus,2400016,baseline,True,,True,11,11,378.730019293246,2.842170943040401e-14,129,11,0,0
plus,2400016,maintained,True,,True,11,11,323.41984788573797,4.547473508864641e-13,122,11,0,0
plus,2400017,baseline,True,,True,12,12,286.45212629424384,0.0,117,12,0,0
plus,2400017,maintained,True,,True,12,12,286.45212629424384,0.0,117,12,0,0
plus,2400018,baseline,True,,True,14,14,358.94422738728775,5.684341886080802e-14,119,14,0,0
plus,2400018,maintained,True,,True,14,14,272.15032467207,0.0,119,14,0,0
plus,2400019,baseline,True,,True,12,12,289.9133048630018,0.0,112,12,0,0
