problem,complete,cleared,virtual_time_s,mean_time_s,program_time_s,stations_visited,scheduling_policy,measure,clear,failed_clear,fallback,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points,skipped_known_measurements,route_replans,negative_observations,negative_region_fallbacks,negative_constraints,ring_activated,coverage_sites_cancelled,strategy,coverage_layout,q3_ring_guard,normal_exit,max_step_time_error_s,provenance,seed,total,ratio,spacing,error,directional
3,True,13,3275.942148199766,251.99554986152046,0.19160040000861045,7,joint_route,104,13,0,0,2595.9421481997656,95.0,520.0,39.0,26.0,274,13,1,4,13,10,18,False,0,0,1,0,integrated,original,aggressive,True,0.0,LOCAL_SYNTHETIC,3482093,13,1.0,950.0,fixed,0
3,True,10,3001.783136284161,300.1783136284161,0.14727219998894725,7,joint_route,109,10,0,0,2306.783136284161,100.0,545.0,30.0,20.0,216,10,0,4,10,3,14,False,0,0,1,0,integrated,original,aggressive,True,1.1368683772161603e-13,LOCAL_SYNTHETIC,3482094,10,1.0,950.0,fixed,0
3,True,11,3216.965034661298,292.4513667873907,0.1719025999918813,7,joint_route,117,11,0,0,2468.9650346612975,108.0,585.0,33.0,22.0,218,11,2,8,11,9,15,False,0,0,1,0,integrated,original,aggressive,True,0.0,LOCAL_SYNTHETIC,3482095,11,1.0,950.0,fixed,0
3,True,13,2985.378230369141,229.64447925916468,0.15750000000116415,7,joint_route,112,13,0,0,2256.37823036914,104.0,560.0,39.0,26.0,216,13,2,8,11,11,17,False,0,0,1,0,integrated,original,aggressive,True,0.0,LOCAL_SYNTHETIC,3482096,13,1.0,950.0,fixed,0
3,True,11,3208.1906975305,291.6536997755,0.16712310000730213,7,joint_route,117,11,0,0,2460.1906975305005,108.0,585.0,33.0,22.0,241,11,2,5,10,13,15,False,0,0,1,0,integrated,original,aggressive,True,0.0,LOCAL_SYNTHETIC,3482097,11,1.0,950.0,fixed,0
3,True,14,3312.0837668585236,236.57741191846597,0.21433109999634326,7,joint_route,99,14,0,0,2655.083766858524,92.0,495.0,42.0,28.0,274,14,1,10,14,21,19,False,0,0,1,0,integrated,original,aggressive,True,2.2737367544323206e-13,LOCAL_SYNTHETIC,3482098,14,1.0,950.0,fixed,0
3,True,16,3412.2037195762327,213.26273247351455,0.24371830000018235,6,joint_route,94,16,0,0,2780.203719576234,82.0,470.0,48.0,32.0,342,16,5,9,16,21,16,False,0,0,1,1,integrated,original,aggressive,True,4.547473508864641e-13,LOCAL_SYNTHETIC,3482099,16,1.0,950.0,fixed,0
3,True,10,2947.733009973543,294.77330099735434,0.13841890000912827,7,joint_route,111,10,0,0,2238.7330099735427,104.0,555.0,30.0,20.0,172,10,0,7,10,6,15,False,0,0,1,0,integrated,original,aggressive,True,0.0,LOCAL_SYNTHETIC,3482100,10,1.0,950.0,fixed,0
3,True,12,2810.902070222874,234.2418391852395,0.1604116999951657,7,joint_route,108,12,0,0,2107.902070222874,103.0,540.0,36.0,24.0,216,12,0,7,11,12,17,False,0,0,1,0,integrated,original,aggressive,True,1.1368683772161603e-13,LOCAL_SYNTHETIC,3482101,12,1.0,950.0,fixed,0
3,True,16,3508.4486946218335,219.2780434138646,0.26119520000065677,7,joint_route,104,16,0,0,2818.4486946218335,90.0,520.0,48.0,32.0,345,16,2,12,16,20,20,False,0,0,1,0,integrated,original,aggressive,True,1.1368683772161603e-13,LOCAL_SYNTHETIC,3482102,16,1.0,950.0,fixed,0
