problem,cleared,virtual_time_s,mean_time_s,program_time_s,complete,stations_visited,measure,clear,failed_clear,fallback,strategy,seed,total,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points
3,15,4382.116882072521,292.14112547150137,0.26832209998974577,True,7,104,15,0,0,route,310013,15,3698.1168820725206,89.0,520.0,45.0,30.0,420,0,0,0,0
3,15,4378.544074880902,291.9029383253935,0.2901016999967396,True,7,106,15,0,0,safe,310013,15,3684.5440748809024,89.0,530.0,45.0,30.0,444,0,0,0,13
3,15,3739.9267351738463,249.32844901158975,0.3025214999943273,True,7,97,15,0,0,joint,310013,15,3094.9267351738463,85.0,485.0,45.0,30.0,397,15,0,3,0
3,15,3741.6539989553753,249.44359993035835,0.29802709999785293,True,7,97,15,0,0,joint_safe,310013,15,3096.6539989553758,85.0,485.0,45.0,30.0,397,15,0,3,14
3,10,3408.617527746198,340.8617527746198,0.1206567999906838,True,7,112,10,0,0,baseline,310014,10,2694.6175277461984,104.0,560.0,30.0,20.0,,,,,
3,10,3227.747420719739,322.7747420719739,0.1461874000087846,True,7,110,10,0,0,local,310014,10,2523.7474207197383,104.0,550.0,30.0,20.0,212,0,0,0,0
3,10,3288.526002854121,328.8526002854121,0.12658580001152586,True,7,113,10,0,0,route,310014,10,2567.5260028541215,106.0,565.0,30.0,20.0,224,0,0,0,0
3,10,3278.5441497107317,327.8544149710732,0.13554600000497885,True,7,112,10,0,0,safe,310014,10,2562.5441497107327,106.0,560.0,30.0,20.0,212,0,0,0,10
3,10,3200.318226653232,320.0318226653232,0.1640888999972958,True,7,115,10,0,0,joint,310014,10,2466.3182266532326,109.0,575.0,30.0,20.0,214,10,0,2,0
3,10,3163.4225288198763,316.34225288198763,0.16220249999605585,True,7,114,10,0,0,joint_safe,310014,10,2434.4225288198777,109.0,570.0,30.0,20.0,202,10,0,2,10
3,15,4453.465868901176,296.89772459341174,0.30135880000307225,True,7,88,15,0,0,baseline,310015,15,3866.4658689011762,72.0,440.0,45.0,30.0,,,,,
3,15,4010.1025128945507,267.3401675263034,0.29261080001015216,True,7,86,15,0,0,local,310015,15,3433.1025128945503,72.0,430.0,45.0,30.0,406,0,0,0,0
3,15,4150.347961282372,276.6898640854915,0.27906610000354704,True,7,99,15,0,0,route,310015,15,3497.347961282372,83.0,495.0,45.0,30.0,419,0,0,0,0
3,15,4135.02442647912,275.668295098608,0.2734275999973761,True,7,98,15,0,0,safe,310015,15,3487.0244264791213,83.0,490.0,45.0,30.0,407,0,0,0,15
3,15,3842.8959081572075,256.19306054381383,0.3098118999914732,True,7,118,15,0,0,joint,310015,15,3072.895908157207,105.0,590.0,45.0,30.0,396,15,6,19,0
3,15,3815.512448540021,254.36749656933475,0.32325510001101065,True,7,117,15,0,0,joint_safe,310015,15,3050.51244854002,105.0,585.0,45.0,30.0,384,15,6,19,14
3,10,4470.175019120769,447.0175019120769,0.18424480000976473,True,7,120,10,0,0,baseline,310016,10,3714.1750191207693,106.0,600.0,30.0,20.0,,,,,
3,10,4100.115415433886,410.01154154338855,0.17148659999656957,True,7,116,10,0,0,local,310016,10,3364.1154154338865,106.0,580.0,30.0,20.0,248,0,0,0,0
3,10,4667.025441793486,466.7025441793486,0.22840330000326503,True,7,119,10,0,0,route,310016,10,3916.0254417934843,106.0,595.0,30.0,20.0,284,0,0,0,0
3,10,4650.484580895509,465.0484580895509,0.17384029999084305,True,7,118,10,0,0,safe,310016,10,3904.484580895508,106.0,590.0,30.0,20.0,272,0,0,0,10
3,10,4113.092685026853,411.3092685026853,0.16291020000062417,True,7,131,10,0,0,joint,310016,10,3283.0926850268534,125.0,655.0,30.0,20.0,203,10,6,20,0
3,10,4111.158093195572,411.11580931955723,0.1739406999986386,True,7,131,10,0,0,joint_safe,310016,10,3281.1580931955723,125.0,655.0,30.0,20.0,203,10,6,20,10
3,10,4361.120502380958,436.1120502380958,0.13662579999072477,True,7,115,10,0,0,baseline,310017,10,3631.1205023809566,105.0,575.0,30.0,20.0,,,,,
3,10,4010.345162649319,401.0345162649319,0.16661079999175854,True,7,114,10,0,0,local,310017,10,3285.345162649319,105.0,570.0,30.0,20.0,249,0,0,0,0
3,10,3913.620580760967,391.36205807609673,0.2252035999990767,True,7,112,10,0,0,route,310017,10,3202.6205807609667,101.0,560.0,30.0,20.0,261,0,0,0,0
3,10,3887.4811057708716,388.7481105770872,0.19198570000298787,True,7,112,10,0,0,safe,310017,10,3176.4811057708707,101.0,560.0,30.0,20.0,261,0,0,0,10
3,10,3437.86095339298,343.78609533929796,0.1906405000045197,True,7,114,10,0,0,joint,310017,10,2709.8609533929803,108.0,570.0,30.0,20.0,214,10,2,6,0
3,10,3432.1844224233832,343.2184422423383,0.15439229999901727,True,7,115,10,0,0,joint_safe,310017,10,2699.1844224233832,108.0,575.0,30.0,20.0,226,10,2,6,10
3,14,4389.859524932508,313.5613946380363,0.24528360000113025,True,7,109,14,0,0,baseline,310018,14,3676.859524932509,98.0,545.0,42.0,28.0,,,,,
3,14,4041.135057588311,288.6525041134508,0.25704089998907875,True,7,109,14,0,0,local,310018,14,3328.1350575883107,98.0,545.0,42.0,28.0,350,0,0,0,0
3,14,4624.574945567025,330.32678182621606,0.28952079999726266,True,7,103,14,0,0,route,310018,14,3949.574945567023,90.0,515.0,42.0,28.0,386,0,0,0,0
3,14,4612.954763431286,329.4967688165204,0.2578933000040706,True,7,102,14,0,0,safe,310018,14,3942.954763431285,90.0,510.0,42.0,28.0,374,0,0,0,14
3,14,4409.623089714035,314.97307783671675,0.26929979999840725,True,7,123,14,0,0,joint,310018,14,3608.6230897140363,116.0,615.0,42.0,28.0,317,14,7,19,0
3,14,4392.292378731289,313.7351699093778,0.21927809999033343,True,7,123,14,0,0,joint_safe,310018,14,3591.2923787312893,116.0,615.0,42.0,28.0,317,14,7,19,14
3,12,3747.015384196854,312.2512820164045,0.17065200000070035,True,7,112,12,0,0,baseline,310019,12,3027.015384196854,100.0,560.0,36.0,24.0,,,,,
3,12,3486.5526571181026,290.54605475984187,0.2267755000066245,True,7,111,12,0,0,local,310019,12,2771.5526571181035,100.0,555.0,36.0,24.0,305,0,0,0,0
3,12,3805.644617404369,317.1370514503641,0.2028520000021672,True,7,112,12,0,0,route,310019,12,3082.644617404369,103.0,560.0,36.0,24.0,270,0,0,0,0
3,12,3775.2835074751583,314.6069589562632,0.1928024000080768,True,7,112,12,0,0,safe,310019,12,3052.2835074751583,103.0,560.0,36.0,24.0,270,0,0,0,12
3,12,3697.82462165588,308.15205180465665,0.189643799996702,True,7,116,12,0,0,joint,310019,12,2947.824621655881,110.0,580.0,36.0,24.0,257,12,4,12,0
3,12,3696.6909314504273,308.0575776208689,0.2327032000030158,True,7,117,12,0,0,joint_safe,310019,12,2941.6909314504273,110.0,585.0,36.0,24.0,269,12,4,12,10
3,16,5244.287842411028,327.76799015068923,0.4089536999963457,True,7,99,16,0,0,baseline,310020,16,4598.287842411028,71.0,495.0,48.0,32.0,,,,,
3,16,4003.5238266763963,250.22023916727477,0.315669199990225,True,7,87,16,0,0,local,310020,16,3417.5238266763968,71.0,435.0,48.0,32.0,453,0,0,0,0
3,16,4264.0342976303755,266.50214360189847,0.37247210000350606,True,6,84,16,0,0,route,310020,16,3698.0342976303755,66.0,420.0,48.0,32.0,477,0,0,0,0
3,16,4224.6387718568785,264.0399232410549,0.31705659998988267,True,6,81,16,0,0,safe,310020,16,3673.6387718568785,66.0,405.0,48.0,32.0,441,0,0,0,16
3,16,4428.535874806112,276.783492175382,0.3153486000082921,True,7,112,16,0,0,joint,310020,16,3688.5358748061117,100.0,560.0,48.0,32.0,398,16,7,27,0
3,16,4382.5691622087925,273.91057263804953,0.34588239999720827,True,7,112,16,0,0,joint_safe,310020,16,3642.569162208792,100.0,560.0,48.0,32.0,398,16,7,27,16
3,11,3670.123595695239,333.6475996086581,0.17568519999622367,True,7,115,11,0,0,baseline,310021,11,2938.123595695239,102.0,575.0,33.0,22.0,,,,,
3,11,3410.4802581531285,310.0436598321026,0.18817850000050385,True,7,114,11,0,0,local,310021,11,2683.480258153129,102.0,570.0,33.0,22.0,284,0,0,0,0
3,11,3510.436784838744,319.1306168035222,0.2020126999996137,True,7,113,11,0,0,route,310021,11,2788.4367848387437,102.0,565.0,33.0,22.0,272,0,0,0,0
3,11,3491.997444180082,317.45431310728014,0.20453129999805242,True,7,113,11,0,0,safe,310021,11,2769.997444180081,102.0,565.0,33.0,22.0,272,0,0,0,9
3,11,3534.531944053483,321.3210858230439,0.2309535000094911,True,7,119,11,0,0,joint,310021,11,2772.5319440534827,112.0,595.0,33.0,22.0,249,11,4,10,0
3,11,3500.1979450536974,318.19981318669977,0.22018050000770018,True,7,118,11,0,0,joint_safe,310021,11,2743.197945053698,112.0,590.0,33.0,22.0,237,11,4,10,11
3,10,4418.058552957531,441.8058552957531,0.1592951000056928,True,7,123,10,0,0,baseline,310022,10,3647.058552957532,106.0,615.0,30.0,20.0,,,,,
3,10,4277.893233814466,427.7893233814466,0.20615559999714606,True,7,117,10,0,0,local,310022,10,3536.893233814466,106.0,585.0,30.0,20.0,250,0,0,0,0
3,10,3984.4564298536457,398.44564298536454,0.18563979999453295,True,7,119,10,0,0,route,310022,10,3231.4564298536457,108.0,595.0,30.0,20.0,261,0,0,0,0
3,10,3951.8466691262047,395.18466691262046,0.1771251000027405,True,7,119,10,0,0,safe,310022,10,3198.8466691262047,108.0,595.0,30.0,20.0,261,0,0,0,8
3,10,4208.69232619159,420.869232619159,0.18979720000061207,True,7,126,10,0,0,joint,310022,10,3411.692326191589,117.0,630.0,30.0,20.0,237,10,1,9,0
3,10,4190.905642889698,419.09056428896986,0.19214800000190735,True,7,126,10,0,0,joint_safe,310022,10,3393.9056428896974,117.0,630.0,30.0,20.0,237,10,1,9,9
3,14,4245.818547967638,303.27275342625984,0.24474470000131987,True,7,101,14,0,0,baseline,310023,14,3581.8185479676376,89.0,505.0,42.0,28.0,,,,,
3,14,3957.920339289353,282.7085956635252,0.2522169000003487,True,7,100,14,0,0,local,310023,14,3298.920339289353,89.0,500.0,42.0,28.0,349,0,0,0,0
3,14,4297.963751524489,306.9974108231778,0.24659569999494124,True,7,97,14,0,0,route,310023,14,3657.96375152449,85.0,485.0,42.0,28.0,373,0,0,0,0
3,14,4278.758462226217,305.62560444472973,0.2873241999914171,True,7,97,14,0,0,safe,310023,14,3638.758462226217,85.0,485.0,42.0,28.0,373,0,0,0,13
3,14,4233.344325109855,302.3817375078468,0.27629809999780264,True,7,119,14,0,0,joint,310023,14,3459.344325109854,109.0,595.0,42.0,28.0,327,14,4,13,0
3,14,4185.929209856639,298.9949435611885,0.29209719999926165,True,7,118,14,0,0,joint_safe,310023,14,3418.9292098566393,107.0,590.0,42.0,28.0,369,14,4,12,14
3,15,4509.845729107992,300.6563819405328,0.2450341999938246,True,7,107,15,0,0,baseline,310024,15,3806.8457291079903,93.0,535.0,45.0,30.0,,,,,
