arm,candidate_evaluations,clear,cleared,complete,deferred_targets,failed_clear,fallback,forced_targets,laser_s,mean_time_s,measure,measure_s,move_s,negative_constraints,negative_observations,negative_region_fallbacks,normal_exit,opportunistic_measures,optical_s,problem,program_time_s,route_replans,safe_clear_points,scheduling_policy,seed,skipped_known_measurements,sources,stations_visited,switch_s,virtual_time_s,wall_s
default,237,11,11,True,11,0,0,0,22.0,283.69476259562794,115,575.0,2381.6423885519075,0,0,0,True,6,33.0,3,0.1511497000028612,13,11,joint_route,3000050,0,11,7,109.0,3120.642388551907,0.15120680000109132
negative,237,11,11,True,11,0,0,0,22.0,272.1794597942847,115,575.0,2254.974057737131,45,87,0,True,6,33.0,3,0.1598182000016095,13,11,joint_route,3000050,0,11,7,109.0,2993.9740577371317,0.15989239999908023
default,338,15,15,True,15,0,0,0,30.0,265.76654528037506,115,575.0,3229.4981792056255,0,0,0,True,8,45.0,3,0.21583400000235997,19,15,joint_route,3000051,2,15,7,107.0,3986.4981792056255,0.21589349998976104
negative,362,15,15,True,15,0,0,0,30.0,265.1103431654374,117,585.0,3209.6551474815606,99,77,0,True,8,45.0,3,0.2401635999995051,19,15,joint_route,3000051,2,15,7,107.0,3976.655147481561,0.24024529999587685
default,374,15,15,True,15,0,0,2,30.0,259.2711100420127,109,545.0,3171.0666506301905,0,0,0,True,9,45.0,3,0.25254990000394173,17,15,joint_route,3000052,3,15,7,98.0,3889.066650630191,0.25261360000877175
negative,362,15,15,True,15,0,0,2,30.0,247.6458228006692,108,540.0,3001.687342010038,58,67,0,True,9,45.0,3,0.24396880000131205,17,15,joint_route,3000052,3,15,7,98.0,3714.6873420100383,0.24403829999209847
default,194,10,10,True,10,0,0,1,20.0,351.6905698476818,117,585.0,2772.9056984768176,0,0,0,True,6,30.0,3,0.1486503000051016,11,10,joint_route,3000053,0,10,7,109.0,3516.9056984768176,0.14871160000620876
negative,194,10,10,True,10,0,0,1,20.0,340.36563919623643,117,585.0,2659.656391962364,43,88,0,True,6,30.0,3,0.15312959998846054,11,10,joint_route,3000053,0,10,7,109.0,3403.656391962364,0.15319880000606645
default,331,14,14,True,14,0,0,1,28.0,245.5323877321808,118,590.0,2668.453428250531,0,0,0,True,14,42.0,3,0.22372969999560155,18,13,joint_route,3000054,3,14,7,109.0,3437.4534282505315,0.22378929999831598
negative,343,14,14,True,14,0,0,1,28.0,245.36345508708519,119,595.0,2661.088371219192,85,78,0,True,14,42.0,3,0.23517200000060257,18,12,joint_route,3000054,3,14,7,109.0,3435.0883712191926,0.23524320000433363
default,297,14,14,True,14,0,0,2,28.0,244.3199233532892,119,595.0,2642.4789269460484,0,0,0,True,25,42.0,3,0.2160204999963753,17,14,joint_route,3000055,3,14,7,113.0,3420.478926946049,0.21607820001372602
negative,309,14,14,True,14,0,0,2,28.0,238.54977576897485,120,600.0,2556.6968607656477,85,79,0,True,25,42.0,3,0.23143770000024233,17,14,joint_route,3000055,3,14,7,113.0,3339.696860765648,0.23151579999830574
default,273,10,10,True,10,0,0,0,20.0,332.42304354143346,125,625.0,2534.2304354143344,0,0,0,True,8,30.0,3,0.17524110000522342,14,10,joint_route,3000056,2,10,7,115.0,3324.2304354143344,0.1752963000035379
negative,273,10,10,True,10,0,0,0,20.0,332.15770333517696,125,625.0,2531.5770333517694,63,95,0,True,8,30.0,3,0.1788656999997329,14,10,joint_route,3000056,2,10,7,115.0,3321.5770333517694,0.17893379999441095
default,204,10,10,True,10,0,0,0,20.0,331.5178574615017,123,615.0,2532.178574615017,0,0,0,True,9,30.0,3,0.14277180000499357,15,9,joint_route,3000057,2,10,7,118.0,3315.178574615017,0.1428308000031393
negative,204,10,10,True,10,0,0,0,20.0,328.7857146735555,123,615.0,2504.857146735556,45,97,0,True,9,30.0,3,0.14232799998717383,15,9,joint_route,3000057,2,10,7,118.0,3287.857146735555,0.14244830000097863
default,308,12,12,True,12,0,0,0,24.0,267.3411540743844,125,625.0,2409.0938488926126,0,0,0,True,13,36.0,3,0.20409270000527613,17,12,joint_route,3000058,3,12,7,114.0,3208.093848892613,0.20415029999276157
negative,308,12,12,True,12,0,0,0,24.0,271.67316643610366,125,625.0,2461.0779972332425,101,90,0,True,13,36.0,3,0.20632759999716654,17,12,joint_route,3000058,3,12,7,114.0,3260.077997233244,0.2063995999924373
default,261,11,11,True,11,0,0,0,22.0,309.68716454745334,124,620.0,2616.5588100219875,0,0,0,True,12,33.0,3,0.17342880000069272,15,11,joint_route,3000059,4,11,7,115.0,3406.5588100219866,0.17348630000196863
negative,261,11,11,True,11,0,0,0,22.0,309.68716454745334,124,620.0,2616.5588100219875,74,93,0,True,12,33.0,3,0.18250389999593608,15,11,joint_route,3000059,4,11,7,115.0,3406.5588100219866,0.1825756000034744
default,251,10,10,True,10,0,0,0,20.0,382.16057180060545,117,585.0,3078.6057180060543,0,0,0,True,9,30.0,3,0.17549870000220835,13,10,joint_route,3000060,0,10,7,108.0,3821.6057180060543,0.17556279999553226
negative,251,10,10,True,10,0,0,0,20.0,381.6469834302912,117,585.0,3073.4698343029117,38,87,0,True,9,30.0,3,0.17463459999999031,13,10,joint_route,3000060,0,10,7,108.0,3816.4698343029117,0.17469970000092871
default,352,16,16,True,16,0,0,2,32.0,234.37574195083718,124,620.0,2934.011871213394,0,0,0,True,21,48.0,3,0.23457970000163186,19,15,joint_route,3000061,3,16,7,116.0,3750.011871213395,0.2346386999997776
negative,364,16,16,True,16,0,0,2,32.0,229.2234123221443,125,625.0,2846.574597154308,111,81,0,True,21,48.0,3,0.25394080000114627,19,15,joint_route,3000061,3,16,7,116.0,3667.574597154309,0.2540212000021711
default,356,16,16,True,16,0,0,1,32.0,232.1653180336592,103,515.0,3025.645088538547,0,0,0,True,27,48.0,3,0.29316310001013335,21,16,joint_route,3000062,2,16,7,94.0,3714.645088538547,0.29322740000498015
negative,356,16,16,True,16,0,0,1,32.0,232.1653180336592,103,515.0,3025.645088538547,60,53,0,True,27,48.0,3,0.29286400000273716,21,16,joint_route,3000062,2,16,7,94.0,3714.645088538547,0.2929452999960631
default,357,15,15,True,15,0,0,3,30.0,254.3997525037677,118,590.0,3043.996287556516,0,0,0,True,20,45.0,3,0.2586726000008639,18,15,joint_route,3000063,8,15,7,107.0,3815.9962875565157,0.2587340000027325
negative,357,15,15,True,15,0,0,3,30.0,247.14284582307542,118,590.0,2935.142687346132,110,70,0,True,20,45.0,3,0.27734739999868907,18,14,joint_route,3000063,8,15,7,107.0,3707.1426873461314,0.2774219999992056
default,239,11,11,True,11,0,0,1,22.0,333.29641782446464,117,585.0,2916.260596069111,0,0,0,True,6,33.0,3,0.17069199999968987,16,11,joint_route,3000064,2,11,7,110.0,3666.2605960691108,0.17075380000460427
negative,203,11,11,True,11,0,0,1,22.0,303.277479202047,114,570.0,2601.052271222518,33,87,0,True,6,33.0,3,0.14499400000204332,16,11,joint_route,3000064,2,11,7,110.0,3336.052271222517,0.14506120000442024
