absence_skipped_measurements,arm,candidate_evaluations,channels_certified_absent,clear,cleared,complete,coverage_sites_cancelled,deferred_targets,discovery_closed,discovery_closed_by_absence,failed_clear,fallback,forced_targets,laser_s,mean_time_s,measure,measure_s,move_s,normal_exit,opportunistic_measures,optical_s,paper_measurements_selected,problem,program_time_s,reschedule_bursts,reschedule_fallbacks,reschedule_steps,rescheduled_targets,route_replans,safe_clear_points,seed,skipped_known_measurements,small_region_probes,small_region_successes,sources,stations_visited,switch_s,virtual_time_s,wall_s
0,noclosure,27,0,12,11,True,0,11,0,0,1,0,0,22.0,583.0931095959951,345,1725.0,4310.024205555947,True,0,36.0,0,4,0.13828709999506827,0,0,0,0,36,5,3100046,31,7,6,11,25,321.0,6414.0242055559465,0.15455950000614394
0,step,27,0,12,11,True,0,11,0,0,1,0,0,22.0,583.0931095959951,345,1725.0,4310.024205555947,True,0,36.0,0,4,0.14457920000131708,0,0,10,5,41,5,3100046,31,7,6,11,25,321.0,6414.0242055559465,0.1622633999941172
0,default,65,0,17,15,True,0,15,0,0,2,0,0,30.0,425.22816402337753,293,1465.0,4568.422460350664,True,0,51.0,0,4,0.20010229999024887,0,0,0,0,40,9,3100047,75,8,6,15,25,264.0,6378.422460350663,0.21728799999982584
0,noclosure,65,0,17,15,True,0,15,0,0,2,0,0,30.0,425.22816402337753,293,1465.0,4568.422460350664,True,0,51.0,0,4,0.20758370000112336,0,0,0,0,40,9,3100047,75,8,6,15,25,264.0,6378.422460350663,0.2243659999949159
0,step,27,0,17,15,True,0,15,0,0,2,0,0,30.0,417.92698654032944,301,1505.0,4407.904798104943,True,0,51.0,0,4,0.19973019999451935,0,0,18,10,48,8,3100047,87,9,7,15,25,275.0,6268.904798104942,0.21729769998637494
0,default,119,0,13,12,True,0,12,0,0,1,0,0,24.0,508.67789963579565,323,1615.0,4126.134795629547,True,0,39.0,0,4,0.23788450000574812,0,0,0,0,37,11,3100048,20,2,1,12,25,300.0,6104.134795629548,0.2550429999973858
0,noclosure,119,0,13,12,True,0,12,0,0,1,0,0,24.0,508.67789963579565,323,1615.0,4126.134795629547,True,0,39.0,0,4,0.23736389999976382,0,0,0,0,37,11,3100048,20,2,1,12,25,300.0,6104.134795629548,0.25412100000539795
0,step,100,0,13,12,True,0,12,0,0,1,0,0,24.0,506.696544361657,325,1625.0,4090.3585323398843,True,0,39.0,0,4,0.23312640000949614,0,0,24,13,50,11,3100048,20,2,1,12,25,302.0,6080.358532339884,0.24969110000529326
0,default,34,0,15,14,True,0,14,0,0,1,0,0,28.0,452.2523483789728,284,1420.0,4579.532877305618,True,0,45.0,1,4,0.1812095000059344,0,0,0,0,39,7,3100049,50,8,7,14,25,259.0,6331.532877305619,0.19758399999409448
0,noclosure,34,0,15,14,True,0,14,0,0,1,0,0,28.0,452.2523483789728,284,1420.0,4579.532877305618,True,0,45.0,1,4,0.17971599999873433,0,0,0,0,39,7,3100049,50,8,7,14,25,259.0,6331.532877305619,0.1963324999960605
0,step,12,0,15,14,True,0,14,0,0,1,0,0,28.0,444.14349521958667,284,1420.0,4464.008933074212,True,0,45.0,0,4,0.15462689999549184,0,0,12,6,45,6,3100049,52,9,8,14,25,261.0,6218.008933074213,0.17135799999232404
0,default,27,0,11,10,True,0,10,0,0,1,0,0,20.0,647.6409593483589,362,1810.0,4277.409593483589,True,0,33.0,0,4,0.12289600000076462,0,0,0,0,35,5,3100050,32,6,5,10,25,336.0,6476.40959348359,0.1395951000013156
0,noclosure,27,0,11,10,True,0,10,0,0,1,0,0,20.0,647.6409593483589,362,1810.0,4277.409593483589,True,0,33.0,0,4,0.12127930000133347,0,0,0,0,35,5,3100050,32,6,5,10,25,336.0,6476.40959348359,0.14004600000043865
0,step,14,0,10,10,True,0,10,0,0,0,0,0,20.0,628.546872479502,350,1750.0,4159.468724795019,True,0,30.0,0,4,0.13092900000629015,0,0,12,8,43,4,3100050,38,6,6,10,25,326.0,6285.46872479502,0.14719180000247434
0,default,71,0,13,13,True,0,13,0,0,0,0,0,26.0,484.17493908294887,262,1310.0,4687.274208078335,True,0,39.0,1,4,0.21748639999714214,0,0,0,0,38,9,3100051,28,4,4,13,25,232.0,6294.2742080783355,0.2347379999991972
0,noclosure,71,0,13,13,True,0,13,0,0,0,0,0,26.0,484.17493908294887,262,1310.0,4687.274208078335,True,0,39.0,1,4,0.20803380000870675,0,0,0,0,38,9,3100051,28,4,4,13,25,232.0,6294.2742080783355,0.2250144999998156
0,step,28,0,14,13,True,0,13,0,0,1,0,0,26.0,452.3285981567747,256,1280.0,4300.271776038069,True,0,42.0,0,4,0.17245179999736138,0,0,16,10,48,6,3100051,28,8,7,13,25,232.0,5880.271776038071,0.1893839999975171
0,default,91,0,24,16,True,10,16,1,0,8,1,0,32.0,313.7379021822608,195,975.0,3765.8064349161723,True,0,72.0,0,4,0.3883442000078503,0,0,0,0,31,11,3100052,52,6,4,16,15,175.0,5019.806434916173,0.4056418000109261
0,noclosure,78,0,24,16,True,0,16,0,0,8,1,0,32.0,355.8853042799201,229,1145.0,4238.16486847872,True,0,72.0,0,4,0.3918587999942247,0,0,0,0,38,10,3100052,80,7,5,16,22,207.0,5694.1648684787215,0.4100880000041798
0,step,25,0,20,16,True,6,16,1,0,4,0,0,32.0,320.7988531475717,213,1065.0,3778.7816503611475,True,0,60.0,0,4,0.1999262000026647,0,0,21,12,42,9,3100052,71,11,7,16,19,197.0,5132.7816503611475,0.2162967999902321
0,default,80,0,17,16,True,6,16,1,0,1,0,0,32.0,325.5703754762962,215,1075.0,3860.1260076207386,True,0,51.0,2,4,0.2564069000072777,0,0,0,0,35,14,3100053,52,3,2,16,19,191.0,5209.126007620739,0.27310629999556113
0,noclosure,64,0,17,16,True,0,16,0,0,1,0,0,32.0,329.94700178540717,219,1095.0,3905.152028566514,True,0,51.0,2,4,0.24068060000718106,0,0,0,0,36,14,3100053,52,3,2,16,20,196.0,5279.152028566515,0.25744509999640286
0,step,41,0,18,16,True,6,16,1,0,2,0,0,32.0,330.61589022817833,214,1070.0,3941.8542436508533,True,0,54.0,0,4,0.2186346000089543,0,0,29,18,41,11,3100053,52,7,5,16,19,192.0,5289.854243650853,0.23482690000673756
0,default,109,0,23,15,True,0,15,0,0,8,1,0,30.0,488.2248377764997,313,1565.0,5379.372566647493,True,0,69.0,2,4,0.3938388000096893,0,0,0,0,40,11,3100054,31,3,3,15,25,280.0,7323.372566647496,0.410196899989387
0,noclosure,109,0,23,15,True,0,15,0,0,8,1,0,30.0,488.2248377764997,313,1565.0,5379.372566647493,True,0,69.0,2,4,0.39208859999780543,0,0,0,0,40,11,3100054,31,3,3,15,25,280.0,7323.372566647496,0.40929990001313854
0,step,41,0,23,15,True,0,15,0,0,8,1,0,30.0,468.37991029627085,311,1555.0,5090.69865444406,True,0,69.0,0,4,0.32050479999452364,0,1,24,15,55,8,3100054,34,6,6,15,25,281.0,7025.698654444062,0.3369498000101885
