problem,complete,cleared,virtual_time_s,mean_time_s,program_time_s,stations_visited,scheduling_policy,measure,clear,failed_clear,fallback,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points,skipped_known_measurements,route_replans,negative_observations,negative_region_fallbacks,negative_constraints,extra_probe_attempts,extra_probe_successes,ring_activated,coverage_sites_cancelled,strategy,coverage_layout,q3_ring_guard,q3_probe_radius,q4_probe_radius,normal_exit,max_step_time_error_s,provenance,seed,total,ratio,spacing,error,directional
3,True,14,2969.088504429326,212.07775031638042,0.15845139999873936,7,joint_route,92,16,2,0,2350.088504429325,83.0,460.0,48.0,28.0,174,14,1,12,9,17,19,False,0,0,7,5,1,0,integrated,original,aggressive,60.0,40.0,True,1.1368683772161603e-13,LOCAL_SYNTHETIC,3486013,14,1.0,950.0,fixed,0
3,True,14,2991.475753952992,213.67683956807085,0.17083149999962188,7,joint_route,100,14,0,0,2331.475753952992,90.0,500.0,42.0,28.0,227,14,1,10,11,9,19,False,0,0,3,3,1,0,integrated,original,aggressive,60.0,40.0,True,0.0,LOCAL_SYNTHETIC,3486014,14,1.0,950.0,fixed,0
3,True,14,3723.0603887163443,265.9328849083103,0.1799507999967318,7,joint_route,108,14,0,0,3017.060388716344,96.0,540.0,42.0,28.0,262,14,3,5,11,10,17,False,0,0,2,2,1,0,integrated,original,aggressive,60.0,40.0,True,0.0,LOCAL_SYNTHETIC,3486015,14,1.0,950.0,fixed,0
3,True,15,3438.2915216319216,229.21943477546145,0.18858399998862296,7,joint_route,101,17,2,0,2762.291521631922,90.0,505.0,51.0,30.0,274,15,1,9,11,17,20,False,0,0,6,4,1,0,integrated,original,aggressive,60.0,40.0,True,0.0,LOCAL_SYNTHETIC,3486016,15,1.0,950.0,fixed,0
3,True,14,3300.4918611934054,235.74941865667182,0.16382260000682436,7,joint_route,106,15,1,0,2601.4918611934067,96.0,530.0,45.0,28.0,261,14,0,5,11,6,18,False,0,0,4,3,1,0,integrated,original,aggressive,60.0,40.0,True,5.684341886080802e-14,LOCAL_SYNTHETIC,3486017,14,1.0,950.0,fixed,0
3,True,14,3092.2517611645644,220.87512579746888,0.1869239999941783,7,joint_route,120,15,1,0,2310.251761164564,109.0,600.0,45.0,28.0,296,14,1,4,12,9,19,False,0,0,3,2,1,0,integrated,original,aggressive,60.0,40.0,True,0.0,LOCAL_SYNTHETIC,3486018,14,1.0,950.0,fixed,0
3,True,13,3171.7327911836787,243.9794454756676,0.13161320000654086,7,joint_route,103,13,0,0,2495.732791183679,96.0,515.0,39.0,26.0,182,13,0,6,6,6,16,False,0,0,5,5,1,0,integrated,original,aggressive,60.0,40.0,True,2.842170943040401e-14,LOCAL_SYNTHETIC,3486019,13,1.0,950.0,fixed,0
3,True,13,2888.3710007546347,222.18238467343343,0.12097000000358094,7,joint_route,93,13,0,0,2270.3710007546347,88.0,465.0,39.0,26.0,91,13,2,14,11,17,17,False,0,0,2,2,1,0,integrated,original,aggressive,60.0,40.0,True,0.0,LOCAL_SYNTHETIC,3486020,13,1.0,950.0,fixed,0
3,True,14,3293.353622182685,235.23954444162035,0.15857790000154637,7,joint_route,107,14,0,0,2590.353622182684,98.0,535.0,42.0,28.0,227,14,1,7,9,9,19,False,0,0,5,5,1,0,integrated,original,aggressive,60.0,40.0,True,4.547473508864641e-13,LOCAL_SYNTHETIC,3486021,14,1.0,950.0,fixed,0
3,True,13,2837.3803685455027,218.26002834965405,0.13558140001259744,7,joint_route,93,13,0,0,2220.3803685455023,87.0,465.0,39.0,26.0,136,13,0,11,9,15,18,False,0,0,4,4,1,0,integrated,original,aggressive,60.0,40.0,True,0.0,LOCAL_SYNTHETIC,3486022,13,1.0,950.0,fixed,0
3,True,13,2963.3158940422622,227.94737646478941,0.1592945000011241,7,joint_route,108,14,1,0,2260.3158940422627,95.0,540.0,42.0,26.0,240,13,1,5,9,11,18,False,0,0,5,4,1,0,integrated,original,aggressive,60.0,40.0,True,0.0,LOCAL_SYNTHETIC,3486023,13,1.0,950.0,fixed,0
3,True,13,2993.3750076836213,230.25961597566317,0.11209119998966344,7,joint_route,94,13,0,0,2370.375007683622,88.0,470.0,39.0,26.0,80,13,1,13,7,10,18,False,0,0,6,6,1,0,integrated,original,aggressive,60.0,40.0,True,1.1368683772161603e-13,LOCAL_SYNTHETIC,3486024,13,1.0,950.0,fixed,0
3,True,14,2845.7339763261107,203.26671259472218,0.146790200000396,7,joint_route,86,14,0,0,2267.73397632611,78.0,430.0,42.0,28.0,169,14,1,9,9,14,19,False,0,0,5,5,1,0,integrated,original,aggressive,60.0,40.0,True,1.1368683772161603e-13,LOCAL_SYNTHETIC,3486025,14,1.0,950.0,fixed,0
