candidate_evaluations,clear,cleared,complete,deferred_targets,error,failed_clear,fallback,forced_targets,laser_s,max_step_time_error_s,mean_time_s,measure,measure_s,mode,move_s,no_signal,normal_exit,ok,opportunistic_measures,optical_s,problem,program_time_s,safe_clear_points,seed,stations_visited,switch_s,total,virtual_time_s,wall_s
238,10,10,True,10,,0,0,3,20.0,0.0,379.6717005919293,125,625.0,reference,3005.717005919293,98,True,True,6,30.0,3,0.20295099999930244,10,950005,7,116.0,10,3796.717005919293,0.20296239999879617
256,10,10,True,10,,0,0,3,20.0,2.2737367544323206e-13,379.5572608185932,125,625.0,paper,3004.572608185932,98,True,True,6,30.0,3,0.54173319999245,10,950005,7,116.0,10,3795.572608185932,0.5417439000011655
372,16,16,True,16,,0,0,3,32.0,0.0,242.3618599723809,102,510.0,reference,3196.7897595580953,61,True,True,6,48.0,3,0.35866680000617635,16,950006,7,91.0,16,3877.7897595580944,0.35867770000186283
394,16,16,True,16,,0,0,3,32.0,2.2737367544323206e-13,241.74523999882823,102,510.0,paper,3186.923839981252,61,True,True,6,48.0,3,0.7393685000133701,16,950006,7,91.0,16,3867.9238399812516,0.7393787999899359
405,16,16,True,16,,0,0,2,32.0,0.0,320.8102129370225,105,525.0,reference,4433.9634069923595,63,True,True,3,48.0,3,0.3723844000051031,16,950007,7,94.0,16,5132.96340699236,0.37239999999292195
420,16,16,True,16,,0,0,2,32.0,0.0,320.6623372100836,104,520.0,paper,4436.5973953613375,63,True,True,3,48.0,3,0.6933297000068706,16,950007,7,94.0,16,5130.5973953613375,0.6933385000011185
259,12,12,True,12,,0,0,2,24.0,2.2737367544323206e-13,305.1122479085765,128,640.0,reference,2840.346974902917,98,True,True,0,36.0,3,0.24522839998826385,12,950008,7,121.0,12,3661.3469749029177,0.24523800000315532
272,12,12,True,12,,0,0,2,24.0,0.0,304.7327366361147,128,640.0,paper,2835.792839633375,98,True,True,0,36.0,3,0.5034346000029473,12,950008,7,121.0,12,3656.792839633376,0.5034462000039639
359,16,16,True,16,,0,0,5,32.0,1.1368683772161603e-13,299.11540060004216,119,595.0,reference,3999.8464096006765,79,True,True,11,48.0,3,0.34859850000066217,16,950009,7,111.0,16,4785.846409600675,0.3486088999925414
361,16,16,True,16,,0,0,5,32.0,0.0,299.36996488168654,119,595.0,paper,4003.919438106985,79,True,True,11,48.0,3,0.727181100010057,16,950009,7,111.0,16,4789.919438106985,0.7271893999859458
431,15,15,True,15,,0,0,8,30.0,1.1368683772161603e-13,272.3521856178006,121,605.0,reference,3299.282784267008,77,True,True,20,45.0,3,0.40170439999201335,15,950010,7,106.0,15,4085.282784267009,0.40171820000978187
446,15,15,True,15,,0,0,8,30.0,0.0,271.3603271008506,120,600.0,paper,3289.404906512758,77,True,True,20,45.0,3,1.036848200004897,15,950010,7,106.0,15,4070.4049065127588,1.0368568999983836
394,15,15,True,15,,0,0,7,30.0,0.0,339.9064292611672,126,630.0,reference,4278.596438917508,85,True,True,15,45.0,3,0.3661928000074113,15,950011,7,115.0,15,5098.596438917508,0.3662022999924375
412,15,15,True,15,,0,0,7,30.0,0.0,340.08084122516243,125,625.0,paper,4286.212618377436,85,True,True,15,45.0,3,0.8221595999930287,15,950011,7,115.0,15,5101.212618377436,0.822171799998614
313,14,14,True,14,,0,0,4,28.0,0.0,289.1530267520383,113,565.0,reference,3307.1423745285356,79,True,True,6,42.0,3,0.2932429000065895,14,950012,7,106.0,14,4048.1423745285356,0.2932511999970302
333,14,14,True,14,,0,0,4,28.0,5.684341886080802e-14,287.64645144271606,113,565.0,paper,3286.0503201980246,79,True,True,6,42.0,3,0.5907779999979539,14,950012,7,106.0,14,4027.0503201980246,0.5907929000095464
415,16,16,True,16,,0,0,3,32.0,0.0,253.30263145674678,117,585.0,reference,3282.8421033079494,75,True,True,9,48.0,3,0.38387520000105724,16,950013,7,105.0,16,4052.8421033079485,0.3838869000028353
441,16,16,True,16,,0,0,3,32.0,0.0,252.29562607064068,117,585.0,paper,3266.730017130251,75,True,True,9,48.0,3,0.8822897000063676,16,950013,7,105.0,16,4036.730017130251,0.8822999999974854
325,13,13,True,13,,0,0,5,26.0,0.0,327.0551905521476,113,565.0,reference,3520.7174771779187,80,True,True,9,39.0,3,0.29630770000221673,13,950014,7,101.0,13,4251.717477177919,0.29632629999832716
