a_m,b_m,score_per_radian
925,100,11124.786048424925
150,250,11230.902417726913
250,225,11258.807139495784
50,275,11314.937280329481
475,175,11326.176471616462
750,125,11360.178589071715
350,200,11385.938865840337
600,150,11420.433529548547
975,100,11472.69653528519
125,250,11507.08543634698
225,225,11549.235114300123
900,100,11605.926920122925
450,175,11656.352352815118
325,200,11695.008364039211
725,125,11765.45100666073
575,150,11781.592951314778
100,250,11786.666971000303
200,225,11843.2852349264
425,175,11990.599099592588
300,200,12007.937175141751
75,250,12069.652686990647
875,100,12090.192531915496
175,225,12140.96754598988
550,150,12146.972985649794
700,125,12174.82532634152
275,200,12324.74186143698
400,175,12328.945460283183
50,250,12381.263142488791
150,225,12442.290897336392
525,150,12516.62218412765
850,100,12577.753355113531
675,125,12588.388982704655
250,200,12645.437363183923
375,175,12671.417900158469
125,225,12747.262981679947
500,150,12890.58585431632
225,200,12970.037044213816
650,125,13006.224741174878
350,175,13018.04064867912
100,225,13055.890373284448
825,100,13068.773634817007
475,150,13268.906093320526
200,200,13298.552740041763
75,225,13368.178567299488
325,175,13368.835753502071
625,125,13428.410632897501
800,100,13563.410783764944
175,200,13630.994807790474
450,150,13651.621837663728
50,225,13689.481162635691
300,175,13723.823139757094
600,125,13855.01993753282
150,200,13967.372177336236
425,150,14038.768926240326
775,100,14061.814971205706
275,175,14083.020673339895
575,125,14286.121204482339
125,200,14307.692403179008
400,150,14430.38017361471
250,175,14446.444227164791
750,100,14564.12886260492
100,200,14651.961716617265
550,125,14721.778304888378
225,175,14814.107749485887
375,150,14826.485451391594
75,200,15000.185077875693
725,100,15070.487476778595
525,125,15162.05050817615
200,175,15186.023333535974
350,150,15227.111775752415
50,200,15352.36622789174
950,75,15407.440225640827
175,175,15562.20128785188
700,100,15581.018134880778
500,125,15606.992578037984
325,150,15632.283399559781
25,200,15751.306395148935
925,75,15775.115147866973
150,175,15942.65020675705
300,150,16042.021907689275
475,125,16056.654883662974
675,100,16095.84048145521
125,175,16327.377040559015
975,75,16351.189507180747
900,75,16427.183371050985
275,150,16456.346314463342
450,125,16511.083522743316
650,100,16615.06656207075
100,175,16716.387165094213
250,150,16875.273162244255
425,125,16970.320453379718
875,75,17080.96366357133
75,175,17109.68445031647
625,100,17138.800945312003
225,150,17298.81662039681
400,125,17434.403632492234
50,175,17507.271327680355
600,100,17667.140879377133
200,150,17726.988583962695
850,75,17736.75277576891
375,125,17903.36715874164
25,175,17931.155072532325
175,150,18159.79877149955
575,100,18200.176475448287
350,125,18377.241418297166
825,75,18394.83148847128
150,150,18597.254821633276
550,100,18737.990911491157
325,125,18856.05323206283
125,150,19039.362387953475
800,75,19055.464712753936
525,100,19280.660651315993
300,125,19339.82600320614
100,150,19486.12523195161
775,75,19718.901713579722
500,100,19828.255674666976
275,125,19828.57986402855
75,150,19937.545313761573
250,125,20322.331821382668
475,100,20380.839714858867
750,75,20385.37642577955
50,150,20393.62288051329
225,125,20821.09589998167
25,150,20854.35655215443
450,100,20938.4705010894
725,75,21055.107838545697
200,125,21324.88328306666
425,100,21501.20000305484
700,75,21728.300430208732
175,125,21833.702449999928
400,100,22069.074675907756
150,125,22347.55931043975
675,75,22405.144639193186
375,100,22642.135703938075
125,125,22866.457334827595
650,75,23085.817360126654
350,100,23220.41924164471
100,125,23390.397680982776
625,75,23770.482456406804
325,100,23803.95665110594
75,125,23919.379316654624
300,100,24392.77473476008
50,125,24453.39913792943
600,75,24459.2912823165
275,100,24986.89596288126
25,125,24992.452083429565
575,75,25152.38320916458
250,100,25586.338695181974
550,75,25849.886151019462
225,100,26191.11739609997
525,75,26551.917086470487
200,100,26801.242843434495
950,50,26868.902762083242
500,75,27258.582573549735
925,50,27367.98050498791
175,100,27416.72233008856
475,75,27969.979255514372
150,100,28037.55985875277
900,50,28350.240109930546
125,100,28663.756329432872
975,50,28682.669800295527
450,75,28686.19435565554
