arm,candidate_evaluations,clear,cleared,complete,coverage_sites_cancelled,deferred_targets,failed_clear,fallback,forced_targets,laser_s,max_step_time_error_s,mean_time_s,measure,measure_s,move_s,normal_exit,opportunistic_measures,optical_s,paired_total_sources,paper_measurements_selected,problem,program_time_s,reschedule_fallbacks,reschedule_steps,rescheduled_targets,route_replans,safe_clear_points,seed,skipped_known_measurements,small_region_probes,small_region_successes,stations_visited,switch_s,virtual_time_s,wall_s
baseline,54,14,14,True,0,14,0,0,0,28.0,0.0,449.0954017846821,315,1575.0,4349.335624985551,True,0,42.0,14,0,4,0.20020540000405163,0,0,0,39,8,1910039,79,6,6,25,293.0,6287.33562498555,0.2175513999973191
stepskip,103,15,14,True,0,14,1,0,0,28.0,0.0,433.55357662370864,268,1340.0,4411.750072731923,True,0,45.0,14,0,4,0.22747109999181703,0,32,23,57,9,1910039,161,6,5,25,245.0,6069.750072731921,0.24382909999985714
baseline,110,16,16,True,0,16,0,0,0,32.0,0.0,412.33557925877705,280,1400.0,4868.369268140432,True,0,48.0,16,0,4,0.2586963000067044,0,0,0,41,10,1910040,39,6,6,25,249.0,6597.369268140433,0.27607500000158325
stepskip,39,20,16,True,0,16,4,1,0,32.0,0.0,402.21219606608,259,1295.0,4815.395137057283,True,0,60.0,16,0,4,0.3546599000110291,1,32,22,62,9,1910040,160,6,6,24,233.0,6435.39513705728,0.3719317999930354
baseline,81,14,11,True,0,11,3,1,0,22.0,0.0,597.0101662285218,326,1630.0,4577.11182851374,True,0,42.0,11,1,4,0.30453449999913573,0,0,0,36,5,1910041,47,5,5,25,296.0,6567.11182851374,0.3210271999996621
stepskip,49,16,11,True,0,11,5,1,0,22.0,0.0,582.3737330211433,303,1515.0,4547.111063232578,True,0,48.0,11,0,4,0.28811229999701027,1,26,18,54,7,1910041,82,5,3,25,274.0,6406.111063232576,0.3044460999954026
baseline,94,12,12,True,0,12,0,0,0,24.0,0.0,567.7930056563042,354,1770.0,4658.516067875648,True,0,36.0,12,0,4,0.22741449999739416,0,0,0,37,8,1910042,28,4,4,25,325.0,6813.51606787565,0.24363520000770222
stepskip,14,12,12,True,0,12,0,0,0,24.0,0.0,542.2113326830438,326,1630.0,4504.535992196525,True,0,36.0,12,0,4,0.1350455000065267,0,27,17,54,10,1910042,66,2,2,25,312.0,6506.5359921965255,0.1528771000012057
baseline,65,46,15,True,0,15,31,2,0,30.0,0.0,447.7100697141465,269,1345.0,4959.651045712203,True,0,138.0,15,1,4,0.40655680000782013,0,0,0,40,8,1910043,67,6,5,25,243.0,6715.651045712198,0.42326820000016596
stepskip,72,30,15,True,0,15,15,3,0,30.0,0.0,423.76838602573423,252,1260.0,4755.525790386015,True,0,90.0,15,1,4,0.595390700007556,3,31,20,60,8,1910043,150,4,4,25,221.0,6356.525790386014,0.6128096000029473
baseline,29,20,12,True,0,12,8,1,0,24.0,0.0,544.0454824023451,288,1440.0,4741.545788828139,True,0,60.0,12,0,4,0.3129929999995511,0,0,0,37,8,1910044,46,4,3,25,263.0,6528.545788828142,0.32964920000813436
stepskip,46,22,12,True,0,12,10,1,0,24.0,0.0,528.3568090307958,265,1325.0,4685.281708369548,True,0,66.0,12,1,4,0.32494649999716785,1,26,20,57,5,1910044,169,7,6,25,240.0,6340.28170836955,0.3421338000043761
baseline,53,15,10,True,0,10,5,1,0,20.0,0.0,719.472419152287,403,2015.0,4737.724191522872,True,0,45.0,10,0,4,0.30411530000856146,0,0,0,35,7,1910045,12,2,2,25,377.0,7194.72419152287,0.3213152000098489
stepskip,26,15,10,True,0,10,5,1,0,20.0,0.0,691.6024969658882,375,1875.0,4628.024969658883,True,0,45.0,10,0,4,0.29592410000623204,1,21,15,50,5,1910045,45,4,4,25,348.0,6916.024969658883,0.3139182000013534
baseline,14,15,15,True,0,15,0,0,0,30.0,0.0,409.08915957669586,273,1365.0,4443.337393650436,True,0,45.0,15,1,4,0.1560167999996338,0,0,0,40,7,1910046,70,8,8,25,253.0,6136.337393650438,0.1731034999975236
stepskip,84,17,15,True,0,15,2,0,0,30.0,0.0,434.92811286108287,265,1325.0,4878.921692916242,True,0,51.0,15,1,4,0.2457981000043219,0,34,24,64,10,1910046,92,7,5,25,239.0,6523.921692916243,0.2629278000094928
baseline,78,13,11,True,0,11,2,0,0,22.0,0.0,597.0819749999739,349,1745.0,4435.901724999714,True,0,39.0,11,0,4,0.18781669999589212,0,0,0,36,6,1910047,40,7,5,25,326.0,6567.901724999713,0.20432539998728316
stepskip,0,46,11,True,0,11,35,1,0,22.0,0.0,616.3182328701374,333,1665.0,4641.500561571526,True,0,138.0,11,0,4,0.26647719999891706,1,26,18,54,7,1910047,71,6,3,25,313.0,6779.500561571512,0.28329150000354275
baseline,77,15,13,True,0,13,2,0,0,26.0,0.0,449.87793589152136,268,1340.0,4195.413166589777,True,0,45.0,13,0,4,0.18297780001012143,0,0,0,38,10,1910048,37,5,3,25,242.0,5848.413166589778,0.20152719999896362
stepskip,25,13,13,True,0,13,0,0,0,26.0,0.0,446.3540376547861,252,1260.0,4246.60248951222,True,0,39.0,13,0,4,0.1674782000045525,0,26,18,56,8,1910048,57,5,5,25,231.0,5802.602489512219,0.18410949999815784
baseline,40,12,11,True,0,11,1,0,0,22.0,0.0,548.892158901842,331,1655.0,4019.8137479202614,True,0,36.0,11,0,4,0.1541639000060968,0,0,0,36,7,1910049,37,5,4,25,305.0,6037.813747920262,0.1721765999973286
stepskip,0,11,11,True,0,11,0,0,0,22.0,0.0,552.2782190186471,307,1535.0,4197.06040920512,True,0,33.0,11,0,4,0.12434930000745226,0,22,17,53,5,1910049,81,6,6,25,288.0,6075.060409205117,0.14180180001130793
baseline,83,15,14,True,0,14,1,0,0,28.0,0.0,462.4582772772341,299,1495.0,4630.415881881277,True,0,45.0,14,1,4,0.21672350000881124,0,0,0,39,10,1910050,38,5,4,25,276.0,6474.4158818812775,0.23354679999465588
stepskip,56,15,14,True,0,14,1,0,0,28.0,0.0,478.74424671282793,278,1390.0,4984.419453979593,True,0,45.0,14,0,4,0.1994808000017656,0,31,23,58,8,1910050,88,7,6,25,255.0,6702.419453979591,0.2164953999890713
baseline,84,16,16,True,0,16,0,0,0,32.0,0.0,381.54888425299697,264,1320.0,4467.782148047951,True,0,48.0,16,3,4,0.28252700000302866,0,0,0,40,9,1910051,44,7,7,24,237.0,6104.7821480479515,0.3000557000050321
stepskip,50,22,16,True,0,16,6,1,0,32.0,0.0,408.70712407165445,248,1240.0,4975.31398514647,True,0,66.0,16,0,4,0.3267617999954382,1,29,21,58,7,1910051,114,8,8,25,226.0,6539.313985146471,0.3438935999874957
baseline,115,13,13,True,0,13,0,0,0,26.0,0.0,520.9306286722726,345,1725.0,4663.098172739544,True,0,39.0,13,0,4,0.22699650000140537,0,0,0,38,10,1910052,29,3,3,25,319.0,6772.098172739545,0.24391779999132268
stepskip,68,23,13,True,0,13,10,1,0,26.0,0.0,530.5543655846624,329,1645.0,4860.206752600612,True,0,69.0,13,2,4,0.3466698999982327,1,36,25,63,10,1910052,69,4,2,25,297.0,6897.206752600611,0.36381409999739844
baseline,31,14,14,True,0,14,0,0,0,28.0,0.0,447.1692286350248,276,1380.0,4564.369200890348,True,0,42.0,14,1,4,0.18053040000086185,0,0,0,39,6,1910053,79,8,8,25,246.0,6260.369200890347,0.1972822000097949
stepskip,83,16,14,True,0,14,2,0,0,28.0,0.0,451.2047325117595,247,1235.0,4788.866255164636,True,0,48.0,14,0,4,0.24015069998858962,0,33,25,64,8,1910053,128,8,6,25,217.0,6316.866255164633,0.25690220000979025
baseline,70,21,11,True,0,11,10,1,0,22.0,0.0,589.2174386501629,331,1655.0,4434.39182515179,True,0,63.0,11,1,4,0.3272441000008257,0,0,0,36,5,1910054,43,6,5,25,307.0,6481.391825151792,0.34343389999412466
stepskip,67,21,11,True,0,11,10,1,0,22.0,0.0,586.345103472316,322,1610.0,4455.796138195475,True,0,63.0,11,0,4,0.32451610000862274,1,20,15,51,4,1910054,61,7,6,25,299.0,6449.7961381954765,0.3415746999962721
baseline,67,13,13,True,0,13,0,0,0,26.0,0.0,487.21046754339,288,1440.0,4568.73607806407,True,0,39.0,13,1,4,0.2014601999981096,0,0,0,38,8,1910055,44,5,5,25,260.0,6333.73607806407,0.21923919999971986
stepskip,39,13,13,True,0,13,0,0,0,26.0,0.0,478.4313307846685,254,1270.0,4652.6073002006915,True,0,39.0,13,0,4,0.1697446000034688,0,25,18,56,7,1910055,84,6,6,25,232.0,6219.607300200691,0.18697870000323746
baseline,67,11,11,True,0,11,0,0,0,22.0,0.0,593.6860584874189,339,1695.0,4479.546643361607,True,0,33.0,11,0,4,0.17359600000781938,0,0,0,36,5,1910056,47,6,6,25,301.0,6530.5466433616075,0.19068280000647064
stepskip,36,11,11,True,0,11,0,0,0,22.0,0.0,563.9601927215159,310,1550.0,4318.562119936675,True,0,33.0,11,1,4,0.19617769999604207,0,28,20,56,8,1910056,75,3,3,25,280.0,6203.562119936675,0.2127452999993693
baseline,82,63,11,True,0,11,52,2,0,22.0,9.094947017729282e-13,649.0697129570121,353,1765.0,4838.766842527124,True,0,189.0,11,0,4,0.462709299987182,0,0,0,36,5,1910057,27,4,4,25,325.0,7139.766842527133,0.48039349999453407
stepskip,37,98,11,True,0,11,87,3,0,22.0,0.0,680.7111842459958,334,1670.0,5192.823026705955,True,0,294.0,11,0,4,0.5594500000006519,3,21,15,51,3,1910057,84,6,5,25,309.0,7487.823026705954,0.5773016000021016
baseline,148,16,16,True,0,16,0,0,0,32.0,5.684341886080802e-14,399.3693404858331,275,1375.0,4687.90944777333,True,0,48.0,16,3,4,0.3035329999984242,0,0,0,39,11,1910058,45,5,5,23,247.0,6389.90944777333,0.319768599991221
stepskip,119,18,16,True,0,16,2,0,0,32.0,0.0,401.10263077162347,247,1235.0,4885.6420923459755,True,0,54.0,16,1,4,0.3017810999881476,0,41,29,68,12,1910058,105,6,4,23,211.0,6417.6420923459755,0.31865109999489505
baseline,27,13,12,True,0,12,1,0,0,24.0,5.684341886080802e-14,516.6586170968961,271,1355.0,4536.903405162754,True,0,39.0,12,2,4,0.18060609999520238,0,0,0,37,6,1910059,53,7,6,25,245.0,6199.903405162753,0.19722149999870453
stepskip,46,13,12,True,0,12,1,0,0,24.0,0.0,505.85150701444917,249,1245.0,4533.218084173389,True,0,39.0,12,0,4,0.2151286999869626,0,25,20,57,5,1910059,102,8,7,25,229.0,6070.21808417339,0.23274740000488237
