problem,cleared,virtual_time_s,mean_time_s,program_time_s,complete,stations_visited,measure,clear,failed_clear,fallback,strategy,seed,total,move_s,switch_s,measure_s,optical_s,laser_s,max_step_error_s,normal_exit,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points
4,13,10387.971166502444,799.0747051155727,0.16155720000097062,True,31,307,13,0,0,directional_layers_safe,310028,13,8527.971166502448,260.0,1535.0,39.0,26.0,5.684341886080802e-14,True,0,0,0,0,13
4,15,11061.354288117598,737.4236192078399,0.19761129999824334,True,31,367,36,21,2,baseline,310029,15,8763.354288117598,325.0,1835.0,108.0,30.0,0.0,True,,,,,
4,15,9566.104997441942,637.7403331627961,0.23157580000406597,True,31,274,22,7,1,directional_layers_safe,310029,15,7868.104997441941,232.0,1370.0,66.0,30.0,0.0,True,0,0,0,0,14
4,14,10805.337519371831,771.8098228122736,0.21751879999646917,True,31,282,25,11,1,baseline,310030,14,9053.337519371828,239.0,1410.0,75.0,28.0,0.0,True,,,,,
4,14,10057.59607197266,718.3997194266186,0.5302349000121467,True,31,265,57,43,2,directional_layers_safe,310030,14,8317.596071972665,216.0,1325.0,171.0,28.0,2.2737367544323206e-13,True,0,0,0,0,12
4,14,10975.452112186955,783.9608651562111,0.17634829999587964,True,31,316,27,13,1,baseline,310031,14,9015.452112186955,271.0,1580.0,81.0,28.0,0.0,True,,,,,
4,14,9535.63110960855,681.1165078291822,0.3208301999984542,True,31,308,21,7,1,directional_layers_safe,310031,14,7639.631109608549,265.0,1540.0,63.0,28.0,2.842170943040401e-14,True,0,0,0,0,13
4,15,10181.476728864056,678.7651152576037,0.25892510000267066,True,31,254,15,0,0,baseline,310032,15,8626.476728864054,210.0,1270.0,45.0,30.0,0.0,True,,,,,
4,15,10384.029203945482,692.2686135963654,0.14524709999386687,True,31,226,15,0,0,directional_layers_safe,310032,15,8997.029203945482,182.0,1130.0,45.0,30.0,0.0,True,0,0,0,0,14
4,10,10430.336798639757,1043.0336798639757,0.13456720000249334,True,31,411,10,0,0,baseline,310033,10,7955.336798639759,370.0,2055.0,30.0,20.0,0.0,True,,,,,
4,10,10478.840763747594,1047.8840763747594,0.11984929999744054,True,31,374,10,0,0,directional_layers_safe,310033,10,8230.840763747598,328.0,1870.0,30.0,20.0,0.0,True,0,0,0,0,10
4,16,10558.701938153241,659.9188711345776,0.23015509999822825,True,29,294,16,0,0,baseline,310034,16,8758.701938153241,250.0,1470.0,48.0,32.0,0.0,True,,,,,
4,16,6963.418574864828,435.21366092905174,0.4902135000011185,True,12,142,50,34,2,directional_layers_safe,310034,16,5959.418574864828,112.0,710.0,150.0,32.0,0.0,True,0,0,0,0,14
4,14,10397.117168270055,742.6512263050039,0.19692750000103842,True,31,263,14,0,0,baseline,310035,14,8793.117168270055,219.0,1315.0,42.0,28.0,1.1368683772161603e-13,True,,,,,
4,14,10032.68885531592,716.6206325225658,0.3394327999994857,True,31,272,27,13,1,directional_layers_safe,310035,14,8340.68885531592,223.0,1360.0,81.0,28.0,0.0,True,0,0,0,0,13
4,11,10627.84528517392,966.1677531976292,0.13755709999531973,True,31,396,17,6,1,baseline,310036,11,8217.84528517392,357.0,1980.0,51.0,22.0,0.0,True,,,,,
4,11,9869.48347968366,897.2257708803328,0.4773224999953527,True,31,343,49,38,2,directional_layers_safe,310036,11,7682.48347968366,303.0,1715.0,147.0,22.0,2.2737367544323206e-13,True,0,0,0,0,9
4,15,10385.038981033187,692.3359320688792,0.24365170000237413,True,31,278,20,5,1,baseline,310037,15,8674.038981033189,231.0,1390.0,60.0,30.0,0.0,True,,,,,
4,15,9869.826015390414,657.9884010260276,0.328295800005435,True,31,242,29,14,1,directional_layers_safe,310037,15,8345.826015390416,197.0,1210.0,87.0,30.0,0.0,True,0,0,0,0,14
4,10,10695.568677893498,1069.5568677893498,0.11383020000357646,True,31,410,21,11,1,baseline,310038,10,8188.568677893496,374.0,2050.0,63.0,20.0,2.842170943040401e-14,True,,,,,
4,10,9814.256539080716,981.4256539080716,0.26987830000871327,True,31,397,20,10,1,directional_layers_safe,310038,10,7393.256539080717,356.0,1985.0,60.0,20.0,0.0,True,0,0,0,0,9
4,11,10789.655204082463,980.8777458256784,0.1449267999996664,True,31,356,19,8,1,baseline,310039,11,8617.655204082463,313.0,1780.0,57.0,22.0,0.0,True,,,,,
4,11,9142.00052807121,831.0909570973828,0.12584830001287628,True,31,349,11,0,0,directional_layers_safe,310039,11,7030.0005280712085,312.0,1745.0,33.0,22.0,0.0,True,0,0,0,0,11
