problem,cleared,virtual_time_s,mean_time_s,program_time_s,complete,stations_visited,measure,clear,failed_clear,fallback,mode,seed,total,normal_exit,strategy,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points,belief_decisions,belief_unavailable,route_decisions,planning_time_s
4,14,10910.59027751991,779.3278769657079,0.19734179999795742,True,31,295,14,0,0,original,720007,14,True,,,,,,,,,,,,,,,
4,14,9362.882177165711,668.7772983689794,0.134509400013485,True,31,266,14,0,0,reference,720007,14,True,directional_layers_safe,7735.88217716571,227.0,1330.0,42.0,28.0,0,0,0,0,14,,,,
4,14,9362.882177165711,668.7772983689794,0.5021452999935718,True,31,266,14,0,0,route,720007,14,True,directional_layers_safe,7735.88217716571,227.0,1330.0,42.0,28.0,0,0,0,0,14,0,0,29,0.0
4,14,9554.22818081886,682.44487005849,0.5948852000001352,True,31,267,14,0,0,belief,720007,14,True,directional_layers_safe,7922.228180818862,227.0,1335.0,42.0,28.0,0,0,0,0,14,29,0,0,0.44729699999152217
4,14,9362.882177165711,668.7772983689794,0.14847780000127386,True,31,266,14,0,0,scan,720007,14,True,directional_layers_safe,7735.88217716571,227.0,1330.0,42.0,28.0,0,0,0,0,14,0,0,0,0.0
4,14,9554.22818081886,682.44487005849,0.958191199999419,True,31,267,14,0,0,combined,720007,14,True,directional_layers_safe,7922.228180818862,227.0,1335.0,42.0,28.0,0,0,0,0,14,29,0,29,0.44560800002363976
4,16,6038.189064061832,377.3868165038645,0.1859563000034541,True,15,157,26,10,1,original,720008,16,True,,,,,,,,,,,,,,,
4,16,5964.685364560321,372.7928352850201,0.653698499998427,True,13,154,29,13,3,reference,720008,16,True,directional_layers_safe,4943.685364560321,132.0,770.0,87.0,32.0,0,0,0,0,13,,,,
4,16,5365.118175405108,335.3198859628192,0.7271565999981249,True,12,147,28,12,2,route,720008,16,True,directional_layers_safe,4388.118175405109,126.0,735.0,84.0,32.0,0,0,0,0,14,0,0,12,0.0
4,16,6815.2534020329285,425.95333762705803,1.1538506000069901,True,13,164,38,22,2,belief,720008,16,True,directional_layers_safe,5717.2534020329285,132.0,820.0,114.0,32.0,0,0,0,0,14,41,0,0,0.6810326000559144
4,16,5963.805779674001,372.7378612296251,0.7724633000034373,True,13,154,27,11,3,scan,720008,16,True,directional_layers_safe,4948.805779674001,132.0,770.0,81.0,32.0,0,0,0,0,13,0,0,0,0.0
4,16,6350.049896127439,396.8781185079649,1.5613331999920774,True,12,160,38,22,2,combined,720008,16,True,directional_layers_safe,5278.049896127439,126.0,800.0,114.0,32.0,0,0,0,0,14,44,0,12,0.7430141999502666
4,15,11215.220383523167,747.6813589015444,0.26205140000092797,True,31,277,15,0,0,original,720009,15,True,,,,,,,,,,,,,,,
4,15,9675.218524029691,645.014568268646,0.1750389999942854,True,31,249,15,0,0,reference,720009,15,True,directional_layers_safe,8152.218524029691,203.0,1245.0,45.0,30.0,0,0,0,0,15,,,,
4,15,9738.129311558554,649.2086207705703,0.5228729999944335,True,31,259,15,0,0,route,720009,15,True,directional_layers_safe,8157.129311558555,211.0,1295.0,45.0,30.0,0,0,0,0,15,0,0,30,0.0
4,15,9547.03007298075,636.4686715320499,0.662619700000505,True,31,245,15,0,0,belief,720009,15,True,directional_layers_safe,8044.030072980751,203.0,1225.0,45.0,30.0,0,0,0,0,15,31,0,0,0.4981134999979986
4,15,9675.218524029691,645.014568268646,0.16230680000444409,True,31,249,15,0,0,scan,720009,15,True,directional_layers_safe,8152.218524029691,203.0,1245.0,45.0,30.0,0,0,0,0,15,0,0,0,0.0
4,15,9645.679639748427,643.0453093165618,1.0485577000072226,True,31,255,15,0,0,combined,720009,15,True,directional_layers_safe,8084.679639748424,211.0,1275.0,45.0,30.0,0,0,0,0,15,32,0,30,0.5261951999709709
4,14,10369.871448495933,740.7051034639952,0.22259170000324957,True,31,267,26,12,1,original,720010,14,True,,,,,,,,,,,,,,,
4,14,10465.798659707503,747.5570471219645,0.3209534000052372,True,31,297,26,12,1,reference,720010,14,True,directional_layers_safe,8629.798659707501,245.0,1485.0,78.0,28.0,0,0,0,0,13,,,,
4,14,10562.644040439749,754.474574317125,0.7505702999915229,True,31,300,26,12,1,route,720010,14,True,directional_layers_safe,8711.644040439747,245.0,1500.0,78.0,28.0,0,0,0,0,13,0,0,29,0.0
4,14,10431.914917224074,745.1367798017196,0.8168416999978945,True,31,291,26,12,1,belief,720010,14,True,directional_layers_safe,8625.91491722407,245.0,1455.0,78.0,28.0,0,0,0,0,13,32,1,0,0.504117300035432
4,14,10502.46026874326,750.1757334816614,0.3482508000015514,True,31,297,24,10,1,scan,720010,14,True,directional_layers_safe,8672.460268743262,245.0,1485.0,72.0,28.0,0,0,0,0,13,0,0,0,0.0
4,14,10592.507615511107,756.6076868222219,1.2933431999990717,True,31,291,29,15,1,combined,720010,14,True,directional_layers_safe,8777.50761551111,245.0,1455.0,87.0,28.0,0,0,0,0,13,32,1,29,0.5211639000481227
4,16,7193.690789663694,449.6056743539809,0.19705030000477564,True,18,229,28,12,2,original,720011,16,True,,,,,,,,,,,,,,,
4,16,9938.063916426021,621.1289947766263,0.2929869000072358,True,29,245,24,8,1,reference,720011,16,True,directional_layers_safe,8411.063916426023,198.0,1225.0,72.0,32.0,0,0,0,0,15,,,,
4,16,7334.433293211329,458.4020808257081,0.7093915000004927,True,18,205,25,9,2,route,720011,16,True,directional_layers_safe,6028.4332932113275,174.0,1025.0,75.0,32.0,0,0,0,0,14,0,0,18,0.0
4,16,9867.916652732478,616.7447907957799,0.8555046999972546,True,29,240,24,8,1,belief,720011,16,True,directional_layers_safe,8365.916652732481,198.0,1200.0,72.0,32.0,0,0,0,0,15,35,1,0,0.5572357999917585
4,16,9938.063916426021,621.1289947766263,0.3198102000023937,True,29,245,24,8,1,scan,720011,16,True,directional_layers_safe,8411.063916426023,198.0,1225.0,72.0,32.0,0,0,0,0,15,0,0,0,0.0
4,16,7403.8580458843,462.74112786776874,1.1962993000051938,True,18,206,24,8,1,combined,720011,16,True,directional_layers_safe,6095.858045884299,174.0,1030.0,72.0,32.0,0,0,0,0,15,35,1,18,0.5698329000442754
4,15,10467.36666607114,697.8244444047427,0.20365370000945404,True,31,255,24,9,1,original,720012,15,True,,,,,,,,,,,,,,,
4,15,10133.159813588087,675.5439875725391,0.3209811999986414,True,31,243,26,11,1,reference,720012,15,True,directional_layers_safe,8614.15981358809,196.0,1215.0,78.0,30.0,0,0,0,0,14,,,,
4,15,10079.248564000027,671.9499042666685,0.7057801999908406,True,31,255,26,11,1,route,720012,15,True,directional_layers_safe,8488.24856400003,208.0,1275.0,78.0,30.0,0,0,0,0,14,0,0,29,0.0
4,15,10489.399339019214,699.2932892679476,0.8988210999959847,True,31,244,24,9,1,belief,720012,15,True,directional_layers_safe,8971.399339019215,196.0,1220.0,72.0,30.0,0,0,0,0,14,36,1,0,0.5708712999621639
4,15,10133.159813588087,675.5439875725391,0.36313450000307057,True,31,243,26,11,1,scan,720012,15,True,directional_layers_safe,8614.15981358809,196.0,1215.0,78.0,30.0,0,0,0,0,14,0,0,0,0.0
4,15,10436.38814177115,695.7592094514099,1.2678351000067778,True,31,256,24,9,1,combined,720012,15,True,directional_layers_safe,8846.388141771153,208.0,1280.0,72.0,30.0,0,0,0,0,14,36,1,29,0.5549151000159327
4,14,10717.510531093016,765.5364665066439,0.2041004999919096,True,31,313,14,0,0,original,720013,14,True,,,,,,,,,,,,,,,
4,14,10659.503892292618,761.3931351637584,0.4823997000057716,True,31,286,29,15,2,reference,720013,14,True,directional_layers_safe,8870.50389229262,244.0,1430.0,87.0,28.0,0,0,0,0,12,,,,
4,14,10898.772827232377,778.4837733737412,0.9168965999997454,True,31,297,29,15,2,route,720013,14,True,directional_layers_safe,9043.772827232375,255.0,1485.0,87.0,28.0,0,0,0,0,12,0,0,29,0.0
4,14,11245.871346013479,803.2765247152485,1.13679950000369,True,31,295,31,17,2,belief,720013,14,True,directional_layers_safe,9405.871346013477,244.0,1475.0,93.0,28.0,0,0,0,0,12,41,0,0,0.6409125999489333
