problem,cleared,virtual_time_s,mean_time_s,program_time_s,complete,stations_visited,measure,clear,failed_clear,fallback,scenario,seed,strategy,total,normal_exit,max_step_time_error_s,move_s,switch_s,measure_s,optical_s,laser_s,candidate_evaluations,deferred_targets,forced_targets,opportunistic_measures,safe_clear_points
3,16,3876.148103053524,242.25925644084526,0.28790419999859296,True,7,104,16,0,0,minus_r1000,510010,joint_safe,16,True,0.0,3185.148103053524,91.0,520.0,48.0,32.0,407,16,1,6,16
3,14,4647.596593553625,331.97118525383036,0.21183369999926072,True,7,114,14,0,0,minus_r1000,510011,baseline,14,True,0.0,,,,,,,,,,
3,14,4089.5683822638257,292.112027304559,0.2783927999989828,True,7,124,14,0,0,minus_r1000,510011,joint_safe,14,True,0.0,3287.5683822638257,112.0,620.0,42.0,28.0,382,14,6,18,14
3,11,4308.384757664551,391.6713416058683,0.14272439999331255,True,7,130,11,0,0,boundary_outward,510000,baseline,11,True,0.0,,,,,,,,,,
3,11,4987.644026512755,453.4221842284323,0.19770259999495465,True,7,137,11,0,0,boundary_outward,510000,joint_safe,11,True,0.0,4119.644026512756,128.0,685.0,33.0,22.0,258,11,6,10,11
3,13,4453.781417439219,342.5985705722476,0.18464459999813698,True,7,130,13,0,0,boundary_outward,510001,baseline,13,True,4.547473508864641e-13,,,,,,,,,,
3,13,4141.691538774627,318.59165682881746,0.2284085999999661,True,7,128,13,0,0,boundary_outward,510001,joint_safe,13,True,0.0,3320.6915387746253,116.0,640.0,39.0,26.0,340,13,2,0,13
3,13,4453.781417439219,342.5985705722476,0.19733159999304917,True,7,130,13,0,0,boundary_outward,510002,baseline,13,True,4.547473508864641e-13,,,,,,,,,,
3,13,4140.691538774627,318.51473375189437,0.25681839999742806,True,7,128,13,0,0,boundary_outward,510002,joint_safe,13,True,0.0,3320.6915387746253,115.0,640.0,39.0,26.0,340,13,2,0,13
3,13,4454.781417439219,342.6754936491707,0.20471450001059566,True,7,130,13,0,0,boundary_outward,510003,baseline,13,True,4.547473508864641e-13,,,,,,,,,,
3,13,4141.691538774627,318.59165682881746,0.2629302999994252,True,7,128,13,0,0,boundary_outward,510003,joint_safe,13,True,0.0,3320.6915387746253,116.0,640.0,39.0,26.0,340,13,2,0,13
3,15,4784.646231413058,318.9764154275372,0.246984599987627,True,7,131,15,0,0,boundary_outward,510004,baseline,15,True,0.0,,,,,,,,,,
3,15,4440.022756733659,296.00151711557726,0.2960333999944851,True,7,127,15,0,0,boundary_outward,510004,joint_safe,15,True,0.0,3617.022756733658,113.0,635.0,45.0,30.0,396,15,2,0,15
3,15,4782.646231413058,318.84308209420385,0.26112429999921005,True,7,131,15,0,0,boundary_outward,510005,baseline,15,True,0.0,,,,,,,,,,
3,15,4440.022756733659,296.00151711557726,0.2865663999982644,True,7,127,15,0,0,boundary_outward,510005,joint_safe,15,True,0.0,3617.022756733658,113.0,635.0,45.0,30.0,396,15,2,0,15
3,13,4453.781417439219,342.5985705722476,0.20888469999772497,True,7,130,13,0,0,boundary_outward,510006,baseline,13,True,4.547473508864641e-13,,,,,,,,,,
3,13,4140.691538774627,318.51473375189437,0.2526164000009885,True,7,128,13,0,0,boundary_outward,510006,joint_safe,13,True,0.0,3320.6915387746253,115.0,640.0,39.0,26.0,340,13,2,0,13
3,15,4783.646231413058,318.9097487608705,0.23139359999913722,True,7,131,15,0,0,boundary_outward,510007,baseline,15,True,0.0,,,,,,,,,,
3,15,4441.022756733659,296.0681837822439,0.29069900000467896,True,7,127,15,0,0,boundary_outward,510007,joint_safe,15,True,0.0,3617.022756733658,114.0,635.0,45.0,30.0,396,15,2,0,15
3,12,3813.1422359473463,317.7618529956122,0.1721760000073118,True,7,128,12,0,0,boundary_outward,510008,baseline,12,True,0.0,,,,,,,,,,
3,12,3614.9505613950314,301.24588011625264,0.19630820000020321,True,7,123,12,0,0,boundary_outward,510008,joint_safe,12,True,4.547473508864641e-13,2825.950561395032,114.0,615.0,36.0,24.0,270,12,1,0,12
3,11,4307.384757664551,391.5804325149592,0.14875300000130665,True,7,130,11,0,0,boundary_outward,510009,baseline,11,True,0.0,,,,,,,,,,
3,11,4987.644026512755,453.4221842284323,0.19564249999530148,True,7,137,11,0,0,boundary_outward,510009,joint_safe,11,True,0.0,4119.644026512756,128.0,685.0,33.0,22.0,258,11,6,10,11
3,16,5309.671851127727,331.8544906954829,0.22708510000666138,True,7,130,16,0,0,boundary_outward,510010,baseline,16,True,0.0,,,,,,,,,,
3,16,4260.6194735366125,266.2887170960383,0.28143390000332147,True,7,125,16,0,0,boundary_outward,510010,joint_safe,16,True,0.0,3443.619473536612,112.0,625.0,48.0,32.0,418,16,2,0,16
3,14,4653.290804472445,332.3779146051747,0.23458419999224134,True,7,131,14,0,0,boundary_outward,510011,baseline,14,True,0.0,,,,,,,,,,
3,14,4293.260293987111,306.66144957050795,0.267458300004364,True,7,128,14,0,0,boundary_outward,510011,joint_safe,14,True,1.1368683772161603e-13,3468.2602939871126,115.0,640.0,42.0,28.0,374,14,2,0,14
3,11,4308.384757664551,391.6713416058683,0.16300610000325833,True,7,130,11,0,0,boundary_tangent,510000,baseline,11,True,0.0,,,,,,,,,,
3,11,4987.644026512755,453.4221842284323,0.19016650000412483,True,7,137,11,0,0,boundary_tangent,510000,joint_safe,11,True,0.0,4119.644026512756,128.0,685.0,33.0,22.0,258,11,6,10,11
