absence_skipped_measurements,arm,candidate_evaluations,channels_certified_absent,clear,cleared,complete,coverage_sites_cancelled,deferred_targets,discovery_closed,discovery_closed_by_absence,failed_clear,fallback,forced_targets,laser_s,max_step_time_error_s,mean_time_s,measure,measure_s,move_s,normal_exit,opportunistic_measures,optical_s,paired_total_sources,paper_measurements_selected,problem,program_time_s,reschedule_bursts,reschedule_fallbacks,reschedule_steps,rescheduled_targets,route_replans,safe_clear_points,seed,skipped_known_measurements,small_region_probes,small_region_successes,stations_visited,switch_s,virtual_time_s,wall_s
0,step2,23,0,21,15,True,0,15,0,0,6,1,0,30.0,0.0,404.74682233876626,258,1290.0,4453.2023350814925,True,0,63.0,15,0,4,0.21422520000487566,4,1,28,17,55,10,1910012,93,10,4,25,235.0,6071.202335081494,0.23217860001022927
0,step1,14,0,10,10,True,0,10,0,0,0,0,0,20.0,0.0,641.7476300843311,344,1720.0,4326.476300843311,True,0,30.0,10,0,4,0.13456419999420177,3,0,12,5,40,6,1910013,19,4,4,25,321.0,6417.476300843311,0.15228850000130478
0,step2,14,0,10,10,True,0,10,0,0,0,0,0,20.0,0.0,641.7476300843311,344,1720.0,4326.476300843311,True,0,30.0,10,0,4,0.13626270000531804,1,0,12,6,41,6,1910013,19,4,4,25,321.0,6417.476300843311,0.15420699999958742
0,step1,38,0,13,12,True,0,12,0,0,1,0,0,24.0,0.0,520.4005968022796,357,1785.0,4066.8071616273546,True,0,39.0,12,0,4,0.17543630000727717,6,0,16,6,43,7,1910014,44,6,5,25,330.0,6244.807161627355,0.1942204000079073
0,step2,38,0,13,12,True,0,12,0,0,1,0,0,24.0,0.0,520.4005968022796,357,1785.0,4066.8071616273546,True,0,39.0,12,0,4,0.17923700000392273,2,0,16,8,45,7,1910014,44,6,5,25,330.0,6244.807161627355,0.19610229998943396
0,step1,52,0,33,15,True,0,15,0,0,18,2,0,30.0,0.0,431.54687322345296,285,1425.0,4660.203098351795,True,0,99.0,15,0,4,0.33611150000069756,6,2,18,7,47,5,1910015,78,9,8,25,259.0,6473.203098351794,0.35395380000409205
0,step2,52,0,33,15,True,0,15,0,0,18,2,0,30.0,0.0,431.54687322345296,285,1425.0,4660.203098351795,True,0,99.0,15,0,4,0.34355050000885967,3,2,18,10,50,5,1910015,78,9,8,25,259.0,6473.203098351794,0.36046310000529047
0,step1,11,0,11,10,True,0,10,0,0,1,0,0,20.0,4.547473508864641e-13,602.6902716191096,340,1700.0,3957.9027161910963,True,0,33.0,10,1,4,0.14464460000453983,2,0,7,3,38,3,1910016,43,8,7,25,316.0,6026.902716191096,0.16331470001023263
0,step2,11,0,11,10,True,0,10,0,0,1,0,0,20.0,4.547473508864641e-13,602.6902716191096,340,1700.0,3957.9027161910963,True,0,33.0,10,1,4,0.14479210000718012,1,0,7,4,39,3,1910016,43,8,7,25,316.0,6026.902716191096,0.16178740000759717
0,step1,53,0,22,15,True,0,15,0,0,7,3,0,30.0,2.2737367544323206e-13,420.10330599215126,238,1190.0,4808.549589882268,True,0,66.0,15,0,4,0.44965870000305586,5,3,18,7,47,6,1910017,17,6,6,25,207.0,6301.549589882269,0.4671395999903325
0,step2,53,0,22,15,True,0,15,0,0,7,3,0,30.0,2.2737367544323206e-13,420.10330599215126,238,1190.0,4808.549589882268,True,0,66.0,15,0,4,0.45508139999583364,2,3,18,9,49,6,1910017,17,6,6,25,207.0,6301.549589882269,0.47260339999047574
0,step1,12,0,14,14,True,0,14,0,0,0,0,0,28.0,0.0,450.79069667056547,312,1560.0,4389.0697533879165,True,0,42.0,14,0,4,0.14251510000030976,2,0,11,4,43,6,1910018,30,8,8,25,292.0,6311.0697533879165,0.161213500003214
0,step2,12,0,14,14,True,0,14,0,0,0,0,0,28.0,0.0,450.79069667056547,312,1560.0,4389.0697533879165,True,0,42.0,14,0,4,0.1473695000022417,1,0,11,5,44,6,1910018,30,8,8,25,292.0,6311.0697533879165,0.1648027000046568
0,step1,50,0,15,14,True,0,14,0,0,1,0,0,28.0,0.0,414.4747467177294,259,1295.0,4201.646454048208,True,0,45.0,14,0,4,0.2000904000014998,6,0,16,6,45,6,1910019,57,9,8,25,233.0,5802.646454048211,0.2181210000126157
