arm,candidate_evaluations,clear,cleared,complete,coverage_sites_cancelled,deferred_targets,failed_clear,fallback,forced_targets,laser_s,max_step_time_error_s,mean_time_s,measure,measure_s,move_s,normal_exit,opportunistic_measures,optical_s,paired_total_sources,paper_measurements_selected,problem,program_time_s,reschedule_fallbacks,reschedule_steps,rescheduled_targets,route_replans,safe_clear_points,seed,skipped_known_measurements,small_region_probes,small_region_successes,stations_visited,switch_s,virtual_time_s,wall_s
step,51,28,10,True,0,10,18,1,0,20.0,0.0,658.5835405937547,330,1650.0,4526.835405937547,True,0,84.0,10,0,4,0.31637609998870175,1,15,10,45,4,1910036,44,5,5,25,305.0,6585.835405937547,0.33227819998865016
step,27,15,15,True,0,15,0,0,0,30.0,9.094947017729282e-13,400.5513049268379,269,1345.0,4345.2695739025685,True,0,45.0,15,0,4,0.1905875000084052,0,18,11,51,7,1910037,89,8,8,25,243.0,6008.2695739025685,0.20697160001145676
step,45,13,13,True,0,13,0,0,0,26.0,0.0,485.9431690999741,312,1560.0,4404.261198299662,True,0,39.0,13,0,4,0.19975900001008995,0,18,11,49,7,1910038,92,6,6,25,288.0,6317.261198299663,0.21637090000149328
step,11,16,14,True,0,14,2,0,0,28.0,0.0,443.0862182086443,317,1585.0,4247.207054921022,True,0,48.0,14,0,4,0.17141300000366755,0,15,7,45,8,1910039,91,8,6,25,295.0,6203.20705492102,0.18766169999435078
step,82,20,16,True,0,16,4,1,0,32.0,0.0,412.0417913336114,280,1400.0,4849.6686613377815,True,0,60.0,16,0,4,0.2549130999977933,1,24,15,53,8,1910040,39,7,7,25,251.0,6592.668661337782,0.2718297000101302
step,64,15,11,True,0,11,4,1,0,22.0,0.0,599.3899343484219,329,1645.0,4584.289277832644,True,0,45.0,11,0,4,0.3094635000015842,1,16,10,46,5,1910041,47,6,5,25,297.0,6593.28927783264,0.32731649999914225
step,15,12,12,True,0,12,0,0,0,24.0,0.0,542.8079900514686,338,1690.0,4446.695880617622,True,0,36.0,12,0,4,0.14331419998779893,0,11,7,44,4,1910042,35,8,8,25,317.0,6513.695880617623,0.15978929999982938
step,50,46,15,True,0,15,31,2,0,30.0,0.0,447.47181664292407,268,1340.0,4959.077249643867,True,0,138.0,15,0,4,0.4099578999885125,2,19,11,48,6,1910043,67,8,7,25,245.0,6712.077249643861,0.42671010000049137
step,0,21,12,True,0,12,9,1,0,24.0,0.0,533.9700153267352,293,1465.0,4585.64018392082,True,0,63.0,12,0,4,0.2722306999930879,1,11,4,39,6,1910044,108,7,5,25,270.0,6407.640183920822,0.28890870000759605
step,27,15,10,True,0,10,5,1,0,20.0,0.0,706.2867247697945,401,2005.0,4615.867247697947,True,0,45.0,10,0,4,0.2879452999914065,1,14,8,43,5,1910045,12,4,4,25,377.0,7062.8672476979455,0.3045047000050545
step,0,15,15,True,0,15,0,0,0,30.0,0.0,407.9904706815853,271,1355.0,4436.857060223779,True,0,45.0,15,0,4,0.14283250000153203,0,10,5,44,5,1910046,70,10,10,25,253.0,6119.85706022378,0.15897979999135714
step,38,14,11,True,0,11,3,0,0,22.0,9.094947017729282e-13,593.496791665431,349,1745.0,4391.4647083197415,True,0,42.0,11,0,4,0.16490790000534616,0,16,10,46,6,1910047,41,8,5,25,328.0,6528.4647083197415,0.18225389999861363
step,38,15,13,True,0,13,2,0,0,26.0,0.0,447.9708437237807,267,1335.0,4173.620968409149,True,0,45.0,13,0,4,0.18390699999872595,0,22,13,51,9,1910048,38,6,4,25,244.0,5823.620968409149,0.20121209998615086
step,13,13,11,True,0,11,2,0,0,22.0,0.0,540.4865366917128,330,1650.0,3927.3519036088423,True,0,39.0,11,0,4,0.13735459999588784,0,11,5,41,6,1910049,41,7,5,25,307.0,5945.351903608841,0.15442439999605995
step,65,16,14,True,0,14,2,0,0,28.0,0.0,432.87219479536594,280,1400.0,4326.210727135124,True,0,48.0,14,0,4,0.21090959999128245,0,20,11,50,9,1910050,24,7,5,25,258.0,6060.210727135123,0.22799200000008568
step,48,17,16,True,0,16,1,0,0,32.0,1.1368683772161603e-13,346.36829147307566,218,1090.0,4169.89266356921,True,0,51.0,16,1,4,0.24173999999766238,0,16,10,50,6,1910051,70,11,10,24,199.0,5541.8926635692105,0.25870569999096915
step,101,13,13,True,0,13,0,0,0,26.0,0.0,515.8569169567168,347,1735.0,4584.139920437317,True,0,39.0,13,0,4,0.2357882999931462,0,24,14,52,10,1910052,29,3,3,25,322.0,6706.139920437318,0.2525312999932794
step,28,14,14,True,0,14,0,0,0,28.0,0.0,449.50143501758004,278,1390.0,4585.020090246121,True,0,42.0,14,0,4,0.1845307000039611,0,12,8,47,4,1910053,79,10,10,25,248.0,6293.02009024612,0.2014158999954816
step,54,21,11,True,0,11,10,1,0,22.0,0.0,587.1885381464267,329,1645.0,4422.0739196106915,True,0,63.0,11,0,4,0.31392329999653157,1,11,7,43,3,1910054,43,8,7,25,307.0,6459.073919610693,0.33024390001082793
step,50,13,13,True,0,13,0,0,0,26.0,0.0,485.2696609714643,286,1430.0,4553.505592629035,True,0,39.0,13,0,4,0.1873083999962546,0,15,9,47,6,1910055,44,7,7,25,260.0,6308.505592629036,0.20392999998875894
step,41,11,11,True,0,11,0,0,0,22.0,0.0,578.0072184396588,340,1700.0,4297.079402836248,True,0,33.0,11,0,4,0.16663530000369065,0,14,10,46,4,1910056,44,7,7,25,306.0,6358.079402836247,0.18316840000625234
step,26,63,11,True,0,11,52,2,0,22.0,0.0,647.1692342319736,352,1760.0,4820.8615765517,True,0,189.0,11,0,4,0.4165329999959795,2,11,6,42,3,1910057,27,6,6,25,327.0,7118.86157655171,0.4332166999956826
step,42,16,16,True,0,16,0,0,0,32.0,0.0,386.55322820331185,294,1470.0,4366.851651252989,True,0,48.0,16,0,4,0.17628050000348594,0,12,7,47,5,1910058,58,11,11,24,268.0,6184.8516512529895,0.19380140000430401
step,13,13,12,True,0,12,1,0,0,24.0,4.547473508864641e-13,493.64217577076147,266,1330.0,4288.7061092491385,True,0,39.0,12,0,4,0.13671780000731815,0,5,4,41,1,1910059,108,12,11,25,242.0,5923.706109249138,0.1534747999976389
