arm,candidate_evaluations,clear,cleared,complete,deferred_targets,failed_clear,fallback,forced_targets,laser_s,max_step_time_error_s,mean_time_s,measure,measure_s,move_s,negative_constraints,negative_observations,negative_region_fallbacks,normal_exit,opportunistic_measures,optical_s,paired_total_sources,problem,program_time_s,route_replans,safe_clear_points,scheduling_policy,seed,skipped_known_measurements,stations_visited,switch_s,virtual_time_s,wall_s
guard,208,10,10,True,10,0,0,0,20.0,0.0,333.0710309539711,113,565.0,2607.71030953971,43,83,0,True,16,30.0,10,3,0.2079822000087006,15,9,joint_route,995038,10,7,108.0,3330.710309539711,0.20806540000194218
measure,208,10,10,True,10,0,0,0,20.0,0.0,333.0710309539711,113,565.0,2607.71030953971,30,83,0,True,16,30.0,10,3,0.20032499999797437,15,9,joint_route,995038,10,7,108.0,3330.710309539711,0.2004068000096595
baseline,341,15,15,True,15,0,0,4,30.0,0.0,245.10202912458308,111,555.0,2944.530436868747,0,0,0,True,22,45.0,15,3,0.2866531000036048,17,13,joint_route,995039,10,7,102.0,3676.530436868746,0.28672040000674315
guard,341,15,15,True,15,0,0,4,30.0,0.0,232.60013718237147,109,545.0,2769.002057735572,88,67,0,True,20,45.0,15,3,0.29696819999662694,17,13,joint_route,995039,12,7,100.0,3489.002057735572,0.2970616999955382
measure,341,15,15,True,15,0,0,4,30.0,0.0,233.40013718237148,111,555.0,2769.002057735572,70,69,0,True,22,45.0,15,3,0.3025841000053333,17,13,joint_route,995039,10,7,102.0,3501.002057735572,0.3026675000000978
baseline,249,11,11,True,11,0,0,1,22.0,0.0,324.3595610659188,130,650.0,2740.955171725107,0,0,0,True,5,33.0,11,3,0.203355300007388,14,11,joint_route,995040,2,7,122.0,3567.9551717251065,0.2034233000013046
guard,250,11,11,True,11,0,0,1,22.0,0.0,319.7071410822525,132,660.0,2677.778551904778,98,101,0,True,7,33.0,11,3,0.22504380000464153,15,11,joint_route,995040,2,7,124.0,3516.778551904778,0.22512590000405908
measure,261,11,11,True,11,0,0,1,22.0,0.0,313.52359669105175,131,655.0,2616.75956360157,94,101,0,True,5,33.0,11,3,0.21150270001089666,14,11,joint_route,995040,2,7,122.0,3448.7595636015694,0.2115881000063382
baseline,284,14,14,True,14,0,0,3,28.0,0.0,232.36521988716217,102,510.0,2576.1130784202714,0,0,0,True,13,42.0,14,3,0.2810079000046244,17,14,joint_route,995041,12,7,97.0,3253.1130784202705,0.2810800000006566
guard,296,14,14,True,14,0,0,3,28.0,0.0,233.83904039589257,103,515.0,2591.746565542496,38,61,0,True,13,42.0,14,3,0.2947139000025345,17,14,joint_route,995041,12,7,97.0,3273.746565542496,0.2948006999940844
measure,284,14,14,True,14,0,0,3,28.0,0.0,231.28964370750074,102,510.0,2561.0550119050104,28,61,0,True,13,42.0,14,3,0.27944870000646915,17,14,joint_route,995041,12,7,97.0,3238.0550119050104,0.27953230000275653
baseline,295,13,13,True,13,0,0,2,26.0,0.0,281.92209385795394,111,555.0,2941.9872201534004,0,0,0,True,11,39.0,13,3,0.24083570000948384,17,13,joint_route,995042,6,7,103.0,3664.9872201534013,0.2409098000061931
guard,295,13,13,True,13,0,0,0,26.0,1.1368683772161603e-13,272.64271743781404,106,530.0,2851.355326691582,44,71,0,True,6,39.0,13,3,0.25667249999241903,16,13,joint_route,995042,1,7,98.0,3544.3553266915824,0.2567511000088416
measure,271,13,13,True,13,0,0,2,26.0,0.0,267.37589237978534,109,545.0,2762.8866009372096,42,75,0,True,11,39.0,13,3,0.2384706000011647,17,13,joint_route,995042,6,7,103.0,3475.8866009372096,0.2385476000054041
baseline,331,14,14,True,14,0,0,0,28.0,0.0,244.99164929188512,112,560.0,2695.883090086391,0,0,0,True,18,42.0,14,3,0.2786112000030698,19,14,joint_route,995043,3,7,104.0,3429.883090086392,0.2786794999992708
guard,319,14,14,True,14,0,0,0,28.0,0.0,242.81257143574365,111,555.0,2670.3760001004107,88,72,0,True,18,42.0,14,3,0.2952826999971876,19,14,joint_route,995043,3,7,104.0,3399.376000100411,0.29537140000320505
