candidate_evaluations,clear,cleared,complete,coverage_sites_cancelled,deferred_targets,discovery_closed,failed_clear,fallback,forced_targets,laser_s,mean_time_s,measure,measure_s,move_s,opportunistic_measures,optical_s,paper_measurements_selected,problem,program_time_s,reschedule_fallbacks,reschedule_steps,rescheduled_targets,route_replans,safe_clear_points,seed,skipped_known_measurements,small_region_probes,small_region_successes,stations_visited,switch_s,virtual_time_s
73,32,16,True,2,16,1,16,1,0,32.0,374.4680089507406,213,1065.0,4617.488143211848,0,96.0,1,4,0.4260028999997303,0,0,0,39,9,1910034,56,7,6,23,181.0,5991.48814321185
60,11,10,True,0,10,0,1,0,0,20.0,641.1606037189827,318,1590.0,4473.606037189825,0,33.0,1,4,0.18316529999719933,0,0,0,35,6,1910035,28,5,4,25,295.0,6411.606037189827
2,21,10,True,0,10,0,11,1,0,20.0,702.5113748735741,369,1845.0,4755.113748735741,0,63.0,1,4,0.147210900002392,0,0,0,35,3,1910036,41,6,6,25,342.0,7025.113748735741
69,15,15,True,0,15,0,0,0,0,30.0,408.2003289356853,236,1180.0,4659.004934035281,0,45.0,1,4,0.2573470999923302,0,0,0,40,9,1910037,87,6,6,25,209.0,6123.00493403528
83,13,13,True,0,13,0,0,0,0,26.0,495.4784215607736,313,1565.0,4525.219480290056,0,39.0,0,4,0.2473664999997709,0,0,0,38,8,1910038,91,5,5,25,286.0,6441.219480290057
54,14,14,True,0,14,0,0,0,0,28.0,449.0954017846821,315,1575.0,4349.335624985551,0,42.0,0,4,0.23310979999951087,0,0,0,39,8,1910039,79,6,6,25,293.0,6287.33562498555
95,16,16,True,1,16,1,0,0,0,32.0,406.2060915549416,275,1375.0,4798.297464879065,0,48.0,0,4,0.2714166999940062,0,0,0,40,10,1910040,39,6,6,24,246.0,6499.297464879066
81,14,11,True,0,11,0,3,1,0,22.0,597.0101662285218,326,1630.0,4577.11182851374,0,42.0,1,4,0.37019980000332,0,0,0,36,5,1910041,47,5,5,25,296.0,6567.11182851374
94,12,12,True,0,12,0,0,0,0,24.0,567.7930056563042,354,1770.0,4658.516067875648,0,36.0,0,4,0.2724342000001343,0,0,0,37,8,1910042,28,4,4,25,325.0,6813.51606787565
65,46,15,True,0,15,0,31,2,0,30.0,447.7100697141465,269,1345.0,4959.651045712203,0,138.0,1,4,0.47797009999339934,0,0,0,40,8,1910043,67,6,5,25,243.0,6715.651045712198
29,20,12,True,0,12,0,8,1,0,24.0,544.0454824023451,288,1440.0,4741.545788828139,0,60.0,0,4,0.35617959999945015,0,0,0,37,8,1910044,46,4,3,25,263.0,6528.545788828142
53,15,10,True,0,10,0,5,1,0,20.0,719.472419152287,403,2015.0,4737.724191522872,0,45.0,0,4,0.34833480000088457,0,0,0,35,7,1910045,12,2,2,25,377.0,7194.72419152287
14,15,15,True,0,15,0,0,0,0,30.0,409.08915957669586,273,1365.0,4443.337393650436,0,45.0,1,4,0.17327389999991283,0,0,0,40,7,1910046,70,8,8,25,253.0,6136.337393650438
78,13,11,True,0,11,0,2,0,0,22.0,597.0819749999739,349,1745.0,4435.901724999714,0,39.0,0,4,0.22708850000344682,0,0,0,36,6,1910047,40,7,5,25,326.0,6567.901724999713
77,15,13,True,0,13,0,2,0,0,26.0,449.87793589152136,268,1340.0,4195.413166589777,0,45.0,0,4,0.2226236999995308,0,0,0,38,10,1910048,37,5,3,25,242.0,5848.413166589778
40,12,11,True,0,11,0,1,0,0,22.0,548.892158901842,331,1655.0,4019.8137479202614,0,36.0,0,4,0.17916569999943022,0,0,0,36,7,1910049,37,5,4,25,305.0,6037.813747920262
83,15,14,True,0,14,0,1,0,0,28.0,462.4582772772341,299,1495.0,4630.415881881277,0,45.0,1,4,0.2614379000006011,0,0,0,39,10,1910050,38,5,4,25,276.0,6474.4158818812775
55,16,16,True,5,16,1,0,0,0,32.0,366.2107357822288,247,1235.0,4322.37177251566,0,48.0,3,4,0.2824704000086058,0,0,0,36,9,1910051,40,7,7,20,222.0,5859.371772515661
115,13,13,True,0,13,0,0,0,0,26.0,520.9306286722726,345,1725.0,4663.098172739544,0,39.0,0,4,0.2637389000010444,0,0,0,38,10,1910052,29,3,3,25,319.0,6772.098172739545
31,14,14,True,0,14,0,0,0,0,28.0,447.1692286350248,276,1380.0,4564.369200890348,0,42.0,1,4,0.20275639998726547,0,0,0,39,6,1910053,79,8,8,25,246.0,6260.369200890347
70,21,11,True,0,11,0,10,1,0,22.0,589.2174386501629,331,1655.0,4434.39182515179,0,63.0,1,4,0.36631080000370275,0,0,0,36,5,1910054,43,6,5,25,307.0,6481.391825151792
67,13,13,True,0,13,0,0,0,0,26.0,487.21046754339,288,1440.0,4568.73607806407,0,39.0,1,4,0.23111960000824183,0,0,0,38,8,1910055,44,5,5,25,260.0,6333.73607806407
67,11,11,True,0,11,0,0,0,0,22.0,593.6860584874189,339,1695.0,4479.546643361607,0,33.0,0,4,0.2065069000091171,0,0,0,36,5,1910056,47,6,6,25,301.0,6530.5466433616075
82,63,11,True,0,11,0,52,2,0,22.0,649.0697129570121,353,1765.0,4838.766842527124,0,189.0,0,4,0.5200046000099974,0,0,0,36,5,1910057,27,4,4,25,325.0,7139.766842527133
153,16,16,True,5,16,1,0,0,0,32.0,387.75155465041877,264,1320.0,4568.0248744067,0,48.0,4,4,0.3634520999912638,0,0,0,36,12,1910058,39,4,4,20,236.0,6204.0248744067
27,13,12,True,0,12,0,1,0,0,24.0,516.6586170968961,271,1355.0,4536.903405162754,0,39.0,2,4,0.2044191999884788,0,0,0,37,6,1910059,53,7,6,25,245.0,6199.903405162753
