candidate_evaluations,clear,cleared,complete,deferred_targets,error,failed_clear,fallback,forced_targets,laser_s,mean_time_s,measure,measure_s,mode,move_s,normal_exit,ok,opportunistic_measures,optical_s,paper_measurements_selected,program_time_s,safe_clear_points,seed,stations_visited,switch_s,total,virtual_time_s
68,15,10,True,0,,5,0,0,20.0,676.7944289447736,371,1855.0,optical,4503.944289447736,True,True,0,45.0,0,0.1924334000068484,6,1800009,25,344.0,10,6767.944289447736
125,17,15,True,0,,2,0,0,30.0,441.847207220808,307,1535.0,direct40,4734.70810831212,True,True,0,51.0,1,0.3507285000086995,11,1800010,25,277.0,15,6627.70810831212
118,18,15,True,0,,3,0,0,30.0,441.6927615507589,306,1530.0,direct80,4735.391423261383,True,True,0,54.0,0,0.32718550000572577,10,1800010,25,276.0,15,6625.391423261383
118,18,15,True,0,,3,0,0,30.0,441.6927615507589,306,1530.0,direct120,4735.391423261383,True,True,0,54.0,0,0.3250333000032697,10,1800010,25,276.0,15,6625.391423261383
78,21,15,True,0,,6,0,0,30.0,439.6971810542387,301,1505.0,optical,4726.45771581358,True,True,0,63.0,0,0.2864128999935929,7,1800010,25,271.0,15,6595.45771581358
28,21,11,True,0,,10,1,0,22.0,574.1977191736298,307,1535.0,direct40,4412.174910909928,True,True,0,63.0,0,0.3797352999972645,6,1800011,25,284.0,11,6316.174910909928
28,21,11,True,0,,10,1,0,22.0,574.1977191736298,307,1535.0,direct80,4412.174910909928,True,True,0,63.0,0,0.37193399999523535,6,1800011,25,284.0,11,6316.174910909928
28,21,11,True,0,,10,1,0,22.0,574.1977191736298,307,1535.0,direct120,4412.174910909928,True,True,0,63.0,0,0.3775494000001345,6,1800011,25,284.0,11,6316.174910909928
27,24,11,True,0,,13,1,0,22.0,575.4943968104712,306,1530.0,optical,4425.438364915181,True,True,0,72.0,0,0.3700103000010131,5,1800011,25,281.0,11,6330.438364915183
13,15,14,True,0,,1,0,0,28.0,427.46543936635874,260,1300.0,direct40,4374.516151129023,True,True,0,45.0,0,0.26516960001026746,6,1800012,25,237.0,14,5984.516151129023
13,15,14,True,0,,1,0,0,28.0,427.46543936635874,260,1300.0,direct80,4374.516151129023,True,True,0,45.0,0,0.2663256999949226,6,1800012,25,237.0,14,5984.516151129023
13,15,14,True,0,,1,0,0,28.0,427.46543936635874,260,1300.0,direct120,4374.516151129023,True,True,0,45.0,0,0.2625797000073362,6,1800012,25,237.0,14,5984.516151129023
13,19,14,True,0,,5,0,0,28.0,429.49596800509,259,1295.0,optical,4398.9435520712605,True,True,0,57.0,0,0.2608528999990085,5,1800012,25,234.0,14,6012.94355207126
43,15,14,True,0,,1,0,0,28.0,451.5146741702115,285,1425.0,direct40,4560.205438382961,True,True,0,45.0,1,0.2696441000007326,11,1800013,25,263.0,14,6321.205438382961
15,15,14,True,0,,1,0,0,28.0,450.38376440562405,283,1415.0,direct80,4557.372701678737,True,True,0,45.0,1,0.24268909999227617,10,1800013,25,260.0,14,6305.372701678737
15,15,14,True,0,,1,0,0,28.0,450.38376440562405,283,1415.0,direct120,4557.372701678737,True,True,0,45.0,1,0.24069289999897592,10,1800013,25,260.0,14,6305.372701678737
14,19,14,True,0,,5,0,0,28.0,448.7534931762719,281,1405.0,optical,4534.548904467808,True,True,0,57.0,0,0.23355559998890385,9,1800013,25,258.0,14,6282.548904467806
125,11,11,True,0,,0,0,0,22.0,577.0521900721188,313,1565.0,direct40,4445.574090793308,True,True,0,33.0,0,0.3233256999956211,7,1800014,25,282.0,11,6347.574090793307
111,11,11,True,0,,0,0,0,22.0,575.2732350563111,312,1560.0,direct80,4433.005585619423,True,True,0,33.0,0,0.3097587000083877,6,1800014,25,280.0,11,6328.005585619422
95,12,11,True,0,,1,0,0,22.0,575.0557714197683,312,1560.0,direct120,4427.613485617452,True,True,0,36.0,0,0.29383269998652395,6,1800014,25,280.0,11,6325.613485617451
111,12,11,True,0,,1,0,0,22.0,576.8517323204501,312,1560.0,optical,4447.369055524952,True,True,0,36.0,0,0.31040799999027513,6,1800014,25,280.0,11,6345.369055524951
83,16,15,True,0,,1,0,0,30.0,451.3675653282817,307,1535.0,direct40,4878.513479924226,True,True,0,48.0,1,0.2851816000038525,13,1800015,25,279.0,15,6770.513479924226
83,16,15,True,0,,1,0,0,30.0,451.3675653282817,307,1535.0,direct80,4878.513479924226,True,True,0,48.0,1,0.2850827000074787,13,1800015,25,279.0,15,6770.513479924226
83,16,15,True,0,,1,0,0,30.0,451.3675653282817,307,1535.0,direct120,4878.513479924226,True,True,0,48.0,1,0.2872266999911517,13,1800015,25,279.0,15,6770.513479924226
83,17,15,True,0,,2,0,0,30.0,451.91209896107216,306,1530.0,optical,4890.681484416083,True,True,0,51.0,1,0.28615320000972133,12,1800015,25,277.0,15,6778.681484416083
146,16,14,True,0,,2,2,0,28.0,470.53761752834265,289,1445.0,direct40,4806.526645396796,True,True,0,48.0,1,0.5207551999919815,9,1800016,25,260.0,14,6587.526645396797
113,17,14,True,0,,3,2,0,28.0,470.10063810204025,288,1440.0,direct80,4803.408933428563,True,True,0,51.0,1,0.48812210001051426,8,1800016,25,259.0,14,6581.408933428564
112,18,14,True,0,,4,2,0,28.0,471.6908262395105,289,1445.0,direct120,4817.671567353146,True,True,0,54.0,1,0.4847126999957254,8,1800016,25,259.0,14,6603.671567353147
108,19,14,True,0,,5,2,0,28.0,471.4020420943929,286,1430.0,optical,4826.6285893215,True,True,0,57.0,0,0.4700738999963505,7,1800016,25,258.0,14,6599.628589321501
26,16,15,True,0,,1,0,0,30.0,462.53544142361983,275,1375.0,direct40,5235.031621354298,True,True,0,48.0,0,0.28494440000213217,9,1800017,25,250.0,15,6938.031621354297
26,16,15,True,0,,1,0,0,30.0,462.53544142361983,275,1375.0,direct80,5235.031621354298,True,True,0,48.0,0,0.2818466999888187,9,1800017,25,250.0,15,6938.031621354297
26,16,15,True,0,,1,0,0,30.0,462.53544142361983,275,1375.0,direct120,5235.031621354298,True,True,0,48.0,0,0.27723810001043603,9,1800017,25,250.0,15,6938.031621354297
13,22,15,True,0,,7,0,0,30.0,462.82536558593927,273,1365.0,optical,5232.38048378909,True,True,0,66.0,0,0.26394900000013877,8,1800017,25,249.0,15,6942.380483789089
50,15,11,True,0,,4,1,0,22.0,601.3210612123868,350,1750.0,direct40,4476.531673336258,True,True,0,45.0,2,0.3221955000044545,8,1800018,25,321.0,11,6614.531673336255
45,15,11,True,0,,4,1,0,22.0,600.3655344984177,349,1745.0,direct80,4471.020879482596,True,True,0,45.0,1,0.29933490000257734,7,1800018,25,321.0,11,6604.020879482594
45,15,11,True,0,,4,1,0,22.0,600.3655344984177,349,1745.0,direct120,4471.020879482596,True,True,0,45.0,1,0.30395110000972636,7,1800018,25,321.0,11,6604.020879482594
30,18,11,True,0,,7,1,0,22.0,598.2468950378502,347,1735.0,optical,4449.715845416353,True,True,0,54.0,1,0.28370040000299923,6,1800018,25,320.0,11,6580.715845416352
75,14,13,True,0,,1,0,0,26.0,512.5687471634315,311,1555.0,direct40,4753.393713124607,True,True,0,42.0,0,0.24715789999754634,7,1800019,25,287.0,13,6663.393713124608
75,14,13,True,0,,1,0,0,26.0,512.5687471634315,311,1555.0,direct80,4753.393713124607,True,True,0,42.0,0,0.2478069999924628,7,1800019,25,287.0,13,6663.393713124608
76,15,13,True,0,,2,0,0,26.0,512.7200219590791,312,1560.0,direct120,4747.3602854680275,True,True,0,45.0,0,0.24943999999959487,7,1800019,25,287.0,13,6665.360285468028
75,17,13,True,0,,4,0,0,26.0,513.8367057584296,310,1550.0,optical,4767.877174859585,True,True,0,51.0,0,0.24749930000689346,6,1800019,25,285.0,13,6679.8771748595855
103,16,15,True,0,,1,0,0,30.0,440.94883176936816,277,1385.0,direct40,4901.232476540523,True,True,0,48.0,1,0.3551893999974709,10,1800020,25,250.0,15,6614.232476540522
92,17,15,True,0,,2,0,0,30.0,441.7674724368632,277,1385.0,direct80,4910.512086552947,True,True,0,51.0,1,0.3394337999925483,10,1800020,25,250.0,15,6626.512086552948
92,17,15,True,0,,2,0,0,30.0,441.7674724368632,277,1385.0,direct120,4910.512086552947,True,True,0,51.0,1,0.3364889999938896,10,1800020,25,250.0,15,6626.512086552948
62,17,15,True,0,,2,0,0,30.0,437.49995080806144,273,1365.0,optical,4870.4992621209185,True,True,0,51.0,1,0.3167888000025414,8,1800020,25,246.0,15,6562.499262120921
77,15,14,True,0,,1,0,0,28.0,468.37959362685734,287,1435.0,direct40,4783.314310776003,True,True,0,45.0,1,0.33836320000409614,11,1800021,25,266.0,14,6557.3143107760025
77,15,14,True,0,,1,0,0,28.0,468.37959362685734,287,1435.0,direct80,4783.314310776003,True,True,0,45.0,1,0.3383748999913223,11,1800021,25,266.0,14,6557.3143107760025
69,16,14,True,0,,2,0,0,28.0,468.1776816173332,288,1440.0,direct120,4772.487542642665,True,True,0,48.0,1,0.3418216999998549,11,1800021,25,266.0,14,6554.487542642664
77,21,14,True,0,,7,0,0,28.0,470.819423186512,286,1430.0,optical,4807.471924611169,True,True,0,63.0,1,0.34597550000762567,10,1800021,25,263.0,14,6591.471924611168
16,11,11,True,0,,0,0,0,22.0,620.9174566234117,327,1635.0,direct40,4842.092022857529,True,True,0,33.0,1,0.20434530000784434,6,1800022,25,298.0,11,6830.092022857529
16,11,11,True,0,,0,0,0,22.0,620.9174566234117,327,1635.0,direct80,4842.092022857529,True,True,0,33.0,1,0.20362949999980628,6,1800022,25,298.0,11,6830.092022857529
16,11,11,True,0,,0,0,0,22.0,620.9174566234117,327,1635.0,direct120,4842.092022857529,True,True,0,33.0,1,0.20414289999462198,6,1800022,25,298.0,11,6830.092022857529
16,15,11,True,0,,4,0,0,22.0,623.9471885440719,327,1635.0,optical,4863.419073984789,True,True,0,45.0,1,0.20289660000707954,6,1800022,25,298.0,11,6863.419073984791
89,12,11,True,0,,1,0,0,22.0,601.6012615570558,352,1760.0,direct40,4470.613877127611,True,True,0,36.0,1,0.2658350999990944,9,1800023,25,329.0,11,6617.613877127614
42,13,11,True,0,,2,0,0,22.0,603.2881465755831,350,1750.0,direct80,4498.169612331412,True,True,0,39.0,0,0.21360440000717063,7,1800023,25,327.0,11,6636.169612331414
42,13,11,True,0,,2,0,0,22.0,603.2881465755831,350,1750.0,direct120,4498.169612331412,True,True,0,39.0,0,0.2097280000016326,7,1800023,25,327.0,11,6636.169612331414
29,17,11,True,0,,6,0,0,22.0,602.0758561308738,347,1735.0,optical,4491.834417439609,True,True,0,51.0,0,0.19439919998694677,5,1800023,25,323.0,11,6622.834417439612
