candidate_evaluations,clear,cleared,complete,deferred_targets,error,failed_clear,fallback,forced_targets,laser_s,mean_time_s,measure,measure_s,mode,move_s,normal_exit,ok,opportunistic_measures,optical_s,paper_measurements_selected,program_time_s,safe_clear_points,seed,stations_visited,switch_s,total,virtual_time_s
161,15,15,True,0,,0,0,0,30.0,440.9525700154422,311,1555.0,eager,4702.288550231633,True,True,0,45.0,2,0.41628669999772683,15,1800010,25,282.0,15,6614.288550231633
89,18,15,True,0,,3,1,0,30.0,504.47634775511517,324,1620.0,patient,5563.145216326727,True,True,0,54.0,5,0.5488471999997273,14,1800010,25,300.0,15,7567.145216326728
89,11,11,True,0,,0,0,0,22.0,583.6715528933892,324,1620.0,merge,4442.387081827281,True,True,0,33.0,2,0.33034919999772683,11,1800011,25,303.0,11,6420.387081827281
89,11,11,True,0,,0,0,0,22.0,556.8533710752073,275,1375.0,select,4442.387081827281,True,True,0,33.0,2,0.3126107999996748,11,1800011,25,253.0,11,6125.387081827281
37,20,11,True,0,,9,1,0,22.0,576.0639679574739,312,1560.0,eager,4405.703647532214,True,True,0,60.0,2,0.4224052999925334,10,1800011,25,289.0,11,6336.703647532213
22,11,11,True,0,,0,0,0,22.0,574.5102741738957,290,1450.0,patient,4547.613015912852,True,True,0,33.0,1,0.24020839999138843,11,1800011,25,267.0,11,6319.6130159128525
55,14,14,True,0,,0,0,0,28.0,472.5686259163659,345,1725.0,merge,4498.9607628291205,True,True,0,42.0,2,0.32155340000463184,14,1800012,25,322.0,14,6615.960762829122
68,14,14,True,0,,0,0,0,28.0,457.68306260961606,309,1545.0,select,4506.562876534623,True,True,0,42.0,3,0.33340400000452064,14,1800012,25,286.0,14,6407.562876534625
120,14,14,True,0,,0,0,0,28.0,434.3072468168505,273,1365.0,eager,4395.30145543591,True,True,0,42.0,2,0.4345944000087911,14,1800012,25,250.0,14,6080.301455435907
110,14,14,True,0,,0,0,0,28.0,456.8889343107774,284,1420.0,patient,4648.445080350882,True,True,0,42.0,2,0.3316504999966128,14,1800012,25,258.0,14,6396.4450803508835
57,23,14,True,0,,9,1,0,28.0,467.0640419220335,299,1495.0,merge,4669.896586908468,True,True,0,69.0,1,0.42699370000627823,13,1800013,25,277.0,14,6538.896586908469
65,23,14,True,0,,9,1,0,28.0,464.68034529816697,267,1335.0,select,4829.524834174336,True,True,0,69.0,3,0.44170510000549257,13,1800013,25,244.0,14,6505.524834174337
147,23,14,True,0,,9,1,0,28.0,493.1592848806211,266,1330.0,eager,5241.229988328696,True,True,0,69.0,2,0.5204110999911791,13,1800013,25,236.0,14,6904.229988328695
64,23,14,True,0,,9,1,0,28.0,491.2382964734443,272,1360.0,patient,5172.336150628217,True,True,0,69.0,3,0.42954529999406077,13,1800013,25,248.0,14,6877.33615062822
37,11,11,True,0,,0,0,0,22.0,649.3151969978722,380,1900.0,merge,4826.467166976597,True,True,0,33.0,2,0.2824899999977788,11,1800014,25,361.0,11,7142.467166976595
92,11,11,True,0,,0,0,0,22.0,638.3294653695493,337,1685.0,select,4967.624119065046,True,True,0,33.0,3,0.3272050999948988,11,1800014,25,314.0,11,7021.624119065043
164,11,11,True,0,,0,0,0,22.0,582.6469152159649,319,1595.0,eager,4469.116067375616,True,True,0,33.0,2,0.3979536000115331,11,1800014,25,290.0,11,6409.116067375614
34,11,11,True,0,,0,0,0,22.0,582.5148595913289,322,1610.0,patient,4442.663455504618,True,True,0,33.0,2,0.2707645000045886,11,1800014,25,300.0,11,6407.663455504618
143,18,15,True,0,,3,1,0,30.0,495.0391731021001,361,1805.0,merge,5203.587596531502,True,True,0,54.0,2,0.5498967999883462,14,1800015,25,333.0,15,7425.587596531502
143,18,15,True,0,,3,1,0,30.0,458.92376983936924,282,1410.0,select,5134.85654759054,True,True,0,54.0,2,0.5226831000036327,14,1800015,25,255.0,15,6883.856547590539
144,15,15,True,0,,0,0,0,30.0,454.7935829835173,312,1560.0,eager,4905.90374475276,True,True,0,45.0,1,0.3483682000078261,15,1800015,25,281.0,15,6821.90374475276
143,18,15,True,0,,3,1,0,30.0,458.92376983936924,282,1410.0,patient,5134.85654759054,True,True,0,54.0,2,0.5074179999937769,14,1800015,25,255.0,15,6883.856547590539
54,14,14,True,0,,0,0,0,28.0,494.2905444865332,351,1755.0,merge,4769.067622811464,True,True,0,42.0,4,0.33659600000828505,14,1800016,25,326.0,14,6920.067622811464
54,14,14,True,0,,0,0,0,28.0,481.147687343676,320,1600.0,select,4769.067622811464,True,True,0,42.0,4,0.3431588999956148,14,1800016,25,297.0,14,6736.067622811464
158,16,14,True,0,,2,2,0,28.0,473.37448722979696,294,1470.0,eager,4817.242821217155,True,True,0,48.0,3,0.5821693999896524,12,1800016,25,264.0,14,6627.242821217157
45,14,14,True,0,,0,0,0,28.0,485.6009237013408,321,1605.0,patient,4824.4129318187715,True,True,0,42.0,3,0.30356790000223555,14,1800016,25,299.0,14,6798.412931818771
106,15,15,True,0,,0,0,0,30.0,464.13565214150856,340,1700.0,merge,4869.034782122627,True,True,0,45.0,5,0.4636245000001509,15,1800017,25,318.0,15,6962.034782122629
106,15,15,True,0,,0,0,0,30.0,440.5551644678844,281,1405.0,select,4872.327467018265,True,True,0,45.0,5,0.4325901999982307,15,1800017,25,256.0,15,6608.327467018266
48,15,15,True,0,,0,0,0,30.0,463.1832156602789,282,1410.0,eager,5205.748234904186,True,True,0,45.0,1,0.3436236999987159,15,1800017,25,257.0,15,6947.748234904184
106,15,15,True,0,,0,0,0,30.0,440.5551644678844,281,1405.0,patient,4872.327467018265,True,True,0,45.0,5,0.4285348999983398,15,1800017,25,256.0,15,6608.327467018266
109,11,11,True,0,,0,0,0,22.0,609.5184438892823,366,1830.0,merge,4480.702882782104,True,True,0,33.0,3,0.36523849998775404,11,1800018,25,339.0,11,6704.702882782105
109,11,11,True,0,,0,0,0,22.0,599.0219943863074,346,1730.0,select,4484.241938249379,True,True,0,33.0,3,0.348767500006943,11,1800018,25,320.0,11,6589.241938249381
56,14,11,True,0,,3,1,0,22.0,598.7843121375626,352,1760.0,eager,4438.627433513188,True,True,0,42.0,4,0.36070099999778904,10,1800018,25,324.0,11,6586.627433513188
